spaceHolder;groupe;sousGroupe;categorie;cat_gr
hearing loss;MS;M;R;S
hard of hearing;MS;M;R;S
hearing impaired;MS;M;NR;S
hearing disabled;MS;M;NR;S
with hearing impairment;MS;M;NR;S
having a hearing impairment;MS;M;NR;S
having hearing loss;MS;M;R;S
with hearing loss;MS;M;R;S
having uncalibrated hearing;MS;M;NR;S
with uncalibrated hearing;MS;M;NR;S
having non-calibrated hearing;MS;M;NR;S
with non-calibrated hearing;MS;M;NR;S
having hearing ablation;MS;M;NR;S
with hearing ablation;MS;M;NR;S
having ear ablation;MS;M;NR;S
with ear ablation;MS;M;NR;S
with a hearing disability;MS;M;NR;S
having a hearing disability;MS;M;NR;S
with a hearing handicap;MS;M;NR;S
having a hearing handicap;MS;M;NR;S
having a hearing problem;MS;M;NR;S
with a hearing problem;MS;M;NR;S
having a hearing issue;MS;M;NR;S
with a hearing issue;MS;M;NR;S
hard of hearing person;MS;M;R;S
hearing impaired person;MS;M;NR;S
person having hearing loss;MS;M;R;S
person with hearing loss;MS;M;R;S
person suffers from hearing problems;MS;M;NR;S
person who suffers from hearing loss;MS;M;NR;S
person suffering from hearing loss;MS;M;NR;S
person with hearing impairment;MS;M;NR;S
person having a hearing impairment;MS;M;NR;S
person having uncalibrated hearing;MS;M;NR;S
person with uncalibrated hearing;MS;M;NR;S
person having non-calibrated hearing;MS;M;NR;S
person with non-calibrated hearing;MS;M;NR;S
person having hearing ablation;MS;M;NR;S
person with hearing ablation;MS;M;NR;S
person having ear ablation;MS;M;NR;S
person with ear ablation;MS;M;NR;S
person with a hearing disability;MS;M;NR;S
person having a hearing disability;MS;M;NR;S
person with a hearing handicap;MS;M;NR;S
person having a hearing handicap;MS;M;NR;S
person having a hearing problem;MS;M;NR;S
person with a hearing problem;MS;M;NR;S
person having a hearing issue;MS;M;NR;S
person with a hearing issue;MS;M;NR;S
someone who is hard of hearing;MS;M;R;S
someone who is hearing impaired;MS;M;NR;S
someone having hearing loss;MS;M;R;S
someone with hearing loss;MS;M;R;S
someone suffers from hearing problems;MS;M;NR;S
someone who suffers from hearing loss;MS;M;NR;S
someone suffering from hearing loss;MS;M;NR;S
someone with hearing impairment;MS;M;NR;S
someone having a hearing impairment;MS;M;NR;S
someone having uncalibrated hearing;MS;M;NR;S
someone with uncalibrated hearing;MS;M;NR;S
someone having non-calibrated hearing;MS;M;NR;S
someone with non-calibrated hearing;MS;M;NR;S
someone having hearing ablation;MS;M;NR;S
someone with hearing ablation;MS;M;NR;S
someone having ear ablation;MS;M;NR;S
someone with ear ablation;MS;M;NR;S
someone with a hearing disability;MS;M;NR;S
someone having a hearing disability;MS;M;NR;S
someone with a hearing handicap;MS;M;NR;S
someone having a hearing handicap;MS;M;NR;S
someone having a hearing problem;MS;M;NR;S
someone with a hearing problem;MS;M;NR;S
someone having a hearing issue;MS;M;NR;S
someone with a hearing issue;MS;M;NR;S
somebody who is hard of hearing;MS;M;R;S
somebody who is hearing impaired;MS;M;NR;S
somebody having hearing loss;MS;M;R;S
somebody with hearing loss;MS;M;R;S
somebody suffers from hearing problems;MS;M;NR;S
somebody who suffers from hearing loss;MS;M;NR;S
somebody suffering from hearing loss;MS;M;NR;S
somebody with hearing impairment;MS;M;NR;S
somebody having a hearing impairment;MS;M;NR;S
somebody having uncalibrated hearing;MS;M;NR;S
somebody with uncalibrated hearing;MS;M;NR;S
somebody having non-calibrated hearing;MS;M;NR;S
somebody with non-calibrated hearing;MS;M;NR;S
somebody having hearing ablation;MS;M;NR;S
somebody with hearing ablation;MS;M;NR;S
somebody having ear ablation;MS;M;NR;S
somebody with ear ablation;MS;M;NR;S
somebody with a hearing disability;MS;M;NR;S
somebody having a hearing disability;MS;M;NR;S
somebody with a hearing handicap;MS;M;NR;S
somebody having a hearing handicap;MS;M;NR;S
somebody having a hearing problem;MS;M;NR;S
somebody with a hearing problem;MS;M;NR;S
somebody having a hearing issue;MS;M;NR;S
somebody with a hearing issue;MS;M;NR;S
anybody who is hard of hearing;MS;M;R;S
anybody who is hearing impaired;MS;M;NR;S
anybody having hearing loss;MS;M;R;S
anybody with hearing loss;MS;M;R;S
anybody suffers from hearing problems;MS;M;NR;S
anybody who suffers from hearing loss;MS;M;NR;S
anybody suffering from hearing loss;MS;M;NR;S
anybody with hearing impairment;MS;M;NR;S
anybody having a hearing impairment;MS;M;NR;S
anybody having uncalibrated hearing;MS;M;NR;S
anybody with uncalibrated hearing;MS;M;NR;S
anybody having non-calibrated hearing;MS;M;NR;S
anybody with non-calibrated hearing;MS;M;NR;S
anybody having hearing ablation;MS;M;NR;S
anybody with hearing ablation;MS;M;NR;S
