spaceHolder;groupe;sousGroupe;categorie;cat_gr
Deaf-plus;SP;SP;NR;S
Deaf Plus;SP;SP;NR;S
deaf with CP;SP;SP;R;S
Deaf with intellectual challenges;SP;SP;R;S
Deaf with CP;SP;SP;R;S
Deaf with mental disabilities;SP;SP;R;S
Deaf-plus person;SP;SP;NR;S
Deaf Plus person;SP;SP;NR;S
deaf with CP person;SP;SP;R;S
Deaf with intellectual challenges person;SP;SP;R;S
Deaf with CP person;SP;SP;R;S
Deaf with mental disabilities person;SP;SP;R;S
someone Deaf-plus;SP;SP;NR;S
someone Deaf Plus;SP;SP;NR;S
someone deaf with CP;SP;SP;R;S
someone Deaf with intellectual challenges;SP;SP;R;S
someone Deaf with CP;SP;SP;R;S
someone Deaf with mental disabilities;SP;SP;R;S
somebody Deaf-plus;SP;SP;NR;S
somebody Deaf Plus;SP;SP;NR;S
somebody deaf with CP;SP;SP;R;S
somebody Deaf with intellectual challenges;SP;SP;R;S
somebody Deaf with CP;SP;SP;R;S
somebody Deaf with mental disabilities;SP;SP;R;S
anybody Deaf-plus;SP;SP;NR;S
anybody Deaf Plus;SP;SP;NR;S
anybody deaf with CP;SP;SP;R;S
anybody Deaf with intellectual challenges;SP;SP;R;S
anybody Deaf with CP;SP;SP;R;S
anybody Deaf with mental disabilities;SP;SP;R;S
Deaf-plus community;SP;SP;NR;S
Deaf Plus community;SP;SP;NR;S
deaf with CP community;SP;SP;R;S
Deaf with intellectual challenges community;SP;SP;R;S
Deaf with CP community;SP;SP;R;S
Deaf with mental disabilities community;SP;SP;R;S
Deaf-plus persons;SP;SP;NR;P
Deaf Plus persons;SP;SP;NR;P
deaf with CP persons;SP;SP;R;P
Deaf with intellectual challenges persons;SP;SP;R;P
Deaf with CP persons;SP;SP;R;P
Deaf with mental disabilities persons;SP;SP;R;P
Deaf-plus people;SP;SP;NR;P
Deaf Plus people;SP;SP;NR;P
deaf with CP people;SP;SP;R;P
Deaf with intellectual challenges people;SP;SP;R;P
Deaf with CP people;SP;SP;R;P
Deaf with mental disabilities people;SP;SP;R;P
everyone Deaf-plus;SP;SP;NR;P
everyone Deaf Plus;SP;SP;NR;P
everyone deaf with CP;SP;SP;R;P
everyone Deaf with intellectual challenges;SP;SP;R;P
everyone Deaf with CP;SP;SP;R;P
everyone Deaf with mental disabilities;SP;SP;R;P
everybody Deaf-plus;SP;SP;NR;P
everybody Deaf Plus;SP;SP;NR;P
everybody deaf with CP;SP;SP;R;P
everybody Deaf with intellectual challenges;SP;SP;R;P
everybody Deaf with CP;SP;SP;R;P
everybody Deaf with mental disabilities;SP;SP;R;P
Deaf-plus communities;SP;SP;NR;P
Deaf Plus communities;SP;SP;NR;P
deaf with CP communities;SP;SP;R;P
Deaf with intellectual challenges communities;SP;SP;R;P
Deaf with CP communities;SP;SP;R;P
Deaf with mental disabilities communities;SP;SP;R;P
