spaceHolder;groupe;sousGroupe;categorie;cat_gr
deaf;MS;S;R;S
Deaf;MS;S;R;S
a deaf;MS;S;R;S
a Deaf;MS;S;R;S
deafened;MS;S;R;S
late-deafened;MS;S;R;S
become deaf;MS;S;R;S
becomes deaf;MS;S;R;S
became deaf;MS;S;R;S
becoming deaf;MS;S;R;S
going deaf;MS;S;R;S
gone deaf;MS;S;R;S
went deaf;MS;S;R;S
sign language;MS;S;R;S
sign languages;MS;S;R;P
language of signs;MS;S;R;P
TTY;MS;S;R;S
signer;MS;S;R;S
signers;MS;S;R;P
oralist;MS;S;R;S
oralists;MS;S;R;P
manual deaf;MS;S;R;S
signing deaf;MS;S;R;S
oral deaf;MS;S;R;S
a manual deaf;MS;S;R;S
a signing deaf;MS;S;R;S
an oral deaf;MS;S;R;S
interpretation;MS;S;R;S
interpretations;MS;S;R;P
interpreter;MS;S;R;S
interpreters;MS;S;R;P
audism;MS;S;R;S
deaf interpreter;MS;S;R;S
Deaf interpreter;MS;S;R;S
a deaf interpreter;MS;S;R;S
a Deaf interpreter;MS;S;R;S
deaf interpreters;MS;S;R;S
Deaf interpreters;MS;S;R;S
deaf person;MS;S;R;S
Deaf person;MS;S;R;S
deafened person;MS;S;R;S
late-deafened person;MS;S;R;S
person who has become deaf;MS;S;R;S
person who becomes deaf;MS;S;R;S
person who becoming deaf;MS;S;R;S
person who became deaf;MS;S;R;S
person who went deaf;MS;S;R;S
person who has gone deaf;MS;S;R;S
person who going deaf;MS;S;R;S
person living with deafness;MS;S;R;S
person with a deafness disability;MS;S;R;S
person with a deafness handicap;MS;S;R;S
person having a deafness disability;MS;S;R;S
person having a deafness handicap;MS;S;R;S
someone deaf;MS;S;R;S
someone Deaf;MS;S;R;S
someone deafened;MS;S;R;S
someone late-deafened;MS;S;R;S
someone who has become deaf;MS;S;R;S
someone who becomes deaf;MS;S;R;S
someone who becoming deaf;MS;S;R;S
someone who became deaf;MS;S;R;S
someone who went deaf;MS;S;R;S
someone who has gone deaf;MS;S;R;S
someone who going deaf;MS;S;R;S
someone living with deafness;MS;S;R;S
someone with a deafness disability;MS;S;R;S
someone with a deafness handicap;MS;S;R;S
someone having a deafness disability;MS;S;R;S
someone having a deafness handicap;MS;S;R;S
somebody deaf;MS;S;R;S
somebody Deaf;MS;S;R;S
somebody deafened;MS;S;R;S
somebody late-deafened;MS;S;R;S
somebody who has become deaf;MS;S;R;S
somebody who becomes deaf;MS;S;R;S
somebody who becoming deaf;MS;S;R;S
somebody who became deaf;MS;S;R;S
somebody who went deaf;MS;S;R;S
somebody who has gone deaf;MS;S;R;S
somebody who going deaf;MS;S;R;S
somebody living with deafness;MS;S;R;S
somebody with a deafness disability;MS;S;R;S
somebody with a deafness handicap;MS;S;R;S
somebody having a deafness disability;MS;S;R;S
somebody having a deafness handicap;MS;S;R;S
anybody deaf;MS;S;R;S
anybody Deaf;MS;S;R;S
anybody deafened;MS;S;R;S
anybody late-deafened;MS;S;R;S
anybody who has become deaf;MS;S;R;S
anybody who becomes deaf;MS;S;R;S
anybody who becoming deaf;MS;S;R;S
anybody who became deaf;MS;S;R;S
anybody who went deaf;MS;S;R;S
anybody who has gone deaf;MS;S;R;S
anybody who going deaf;MS;S;R;S
anybody living with deafness;MS;S;R;S
anybody with a deafness disability;MS;S;R;S
anybody with a deafness handicap;MS;S;R;S
anybody having a deafness disability;MS;S;R;S
anybody having a deafness handicap;MS;S;R;S
deaf persons;MS;S;R;P
Deaf persons;MS;S;R;P
deafened persons;MS;S;R;P
late-deafened persons;MS;S;R;P
persons who have become deaf;MS;S;R;P
persons who becomes deaf;MS;S;R;P
persons who becoming deaf;MS;S;R;P
persons who became deaf;MS;S;R;P
persons who went deaf;MS;S;R;P
persons who have gone deaf;MS;S;R;P
persons who going deaf;MS;S;R;P
persons living with deafness;MS;S;R;P
persons with a deafness disability;MS;S;R;P
persons with a deafness handicap;MS;S;R;P
persons having a deafness disability;MS;S;R;P
persons having a deafness handicap;MS;S;R;P
everyone deaf;MS;S;R;P
everyone Deaf;MS;S;R;P
everyone deafened;MS;S;R;P
everyone late-deafened;MS;S;R;P
everyone who have become deaf;MS;S;R;P
everyone who becomes deaf;MS;S;R;P
everyone who becoming deaf;MS;S;R;P
everyone who became deaf;MS;S;R;P
everyone who went deaf;MS;S;R;P
everyone who have gone deaf;MS;S;R;P
everyone who going deaf;MS;S;R;P
everyone living with deafness;MS;S;R;P
everyone with a deafness disability;MS;S;R;P
everyone with a deafness handicap;MS;S;R;P
everyone having a deafness disability;MS;S;R;P
everyone having a deafness handicap;MS;S;R;P
everybody deaf ;MS;S;R;P
everybody Deaf ;MS;S;R;P
everybody deafened;MS;S;R;P
everybody late-deafened;MS;S;R;P
everybody who have become deaf;MS;S;R;P
everybody who becomes deaf;MS;S;R;P
everybody who becoming deaf;MS;S;R;P
everybody who became deaf;MS;S;R;P
everybody who went deaf;MS;S;R;P
everybody who have gone deaf;MS;S;R;P
everybody who going deaf;MS;S;R;P
everybody living with deafness;MS;S;R;P
everybody with a deafness disability;MS;S;R;P
everybody with a deafness handicap;MS;S;R;P
everybody having a deafness disability;MS;S;R;P
everybody having a deafness handicap;MS;S;R;P
deaf people;MS;S;R;P
Deaf people;MS;S;R;P
deafened people;MS;S;R;P
late-deafened people;MS;S;R;P
people who have become deaf;MS;S;R;P
people who becomes deaf;MS;S;R;P
people who becoming deaf;MS;S;R;P
people who became deaf;MS;S;R;P
people who went deaf;MS;S;R;P
people who have gone deaf;MS;S;R;P
people who going deaf;MS;S;R;P
people living with deafness;MS;S;R;P
people with a deafness disability;MS;S;R;P
people with a deafness handicap;MS;S;R;P
people having a deafness disability;MS;S;R;P
people having a deafness handicap;MS;S;R;P
deaf community;MS;S;R;S
Deaf community;MS;S;R;S
deafened community;MS;S;R;S
late-deafened community;MS;S;R;S
community who has become deaf;MS;S;R;S
community who becomes deaf;MS;S;R;S
community who becoming deaf;MS;S;R;S
community who became deaf;MS;S;R;S
community who went deaf;MS;S;R;S
community who has gone deaf;MS;S;R;S
community who going deaf;MS;S;R;S
community living with deafness;MS;S;R;S
community with a deafness disability;MS;S;R;S
community with a deafness handicap;MS;S;R;S
community having a deafness disability;MS;S;R;S
community having a deafness handicap;MS;S;R;S
deaf communities ;MS;S;R;P
Deaf communities ;MS;S;R;P
deafened communities ;MS;S;R;P
late-deafened communities;MS;S;R;P
communities who have become deaf;MS;S;R;P
communities who becomes deaf;MS;S;R;P
communities who becoming deaf;MS;S;R;P
communities who became deaf;MS;S;R;P
communities who went deaf;MS;S;R;P
communities who have gone deaf;MS;S;R;P
communities who going deaf;MS;S;R;P
communities living with deafness;MS;S;R;P
communities with a deafness disability;MS;S;R;P
communities with a deafness handicap;MS;S;R;P
communities having a deafness disability;MS;S;R;P
communities having a deafness handicap;MS;S;R;P
TDD;MS;S;NR;S
TT;MS;S;NR;S
deaf mute;MS;S;NR;S
deaf and mute;MS;S;NR;S
deaf-mute;MS;S;NR;S
deaf and dumb;MS;S;NR;S
Deaf mute;MS;S;NR;S
Deaf and mute;MS;S;NR;S
Deaf-mute;MS;S;NR;S
Deaf and dumb;MS;S;NR;S
deaf dumb;MS;S;NR;S
deaf-dumb;MS;S;NR;S
Deaf dumb;MS;S;NR;S
Deaf-dumb;MS;S;NR;S
deaf mute interpreter;MS;S;NR;S
deaf and mute interpreter;MS;S;NR;S
deaf-mute interpreter;MS;S;NR;S
deaf and dumb interpreter;MS;S;NR;S
Deaf mute interpreter;MS;S;NR;S
Deaf and mute interpreter;MS;S;NR;S
