Mentions recommandées (R) ;Mentions non recommandées (NR)
hard of hearing;deaf-mute
deaf;deaf mute
deafened;hearing impairment
sign language;hearing impaired
signers;significant hearing loss
oralists;uncalibrated hearing
deaf community;hearing ablation
hard of hearing community;hearing handicap 
a Deaf;having a hearing impairment 
interpretation;living with deafness
interpreter;having a hearing problem 
audism;suffering from hearing problems 
hard of hearing person;gesturals
deaf person;person with hearing loss 
person with hearing loss;translator 
deafened person;deaf-mute person 
person living with deafness;deaf mute person
person with deafness disability;a deaf and mute person 
hearing person;person living with deafness
non-deaf person;person who suffers from hearing
