spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
abnormal hearing persons;MS;MS;non;NR;;P;to innovate;HassanSaad;innovate;abnormal hearing persons innovate [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to develop;HassanSaad;develop;abnormal hearing persons develop [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to manage;HassanSaad;manage;abnormal hearing persons manage [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to have;HassanSaad;have;abnormal hearing persons have [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to instruct;HassanSaad;instruct;abnormal hearing persons instruct [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to guide;HassanSaad;guide;abnormal hearing persons guide [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to perceive;HassanSaad;perceive;abnormal hearing persons perceive [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to supervise;HassanSaad;supervise;abnormal hearing persons supervise [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to do;HassanSaad;do;abnormal hearing persons do [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to produce;HassanSaad;produce;abnormal hearing persons produce [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to feel;HassanSaad;feel;abnormal hearing persons feel [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to teache;HassanSaad;teache;abnormal hearing persons teache [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to lead;HassanSaad;lead;abnormal hearing persons lead [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to advise;HassanSaad;advise;abnormal hearing persons advise [MASK].
atypical hearing persons;MS;MS;non;R;;P;to innovate;HassanSaad;innovate;atypical hearing persons innovate [MASK].
atypical hearing persons;MS;MS;non;R;;P;to develop;HassanSaad;develop;atypical hearing persons develop [MASK].
atypical hearing persons;MS;MS;non;R;;P;to manage;HassanSaad;manage;atypical hearing persons manage [MASK].
atypical hearing persons;MS;MS;non;R;;P;to have;HassanSaad;have;atypical hearing persons have [MASK].
atypical hearing persons;MS;MS;non;R;;P;to instruct;HassanSaad;instruct;atypical hearing persons instruct [MASK].
atypical hearing persons;MS;MS;non;R;;P;to guide;HassanSaad;guide;atypical hearing persons guide [MASK].
