spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
abnormal hearing persons;MS;MS;non;NR;;P;job;moi-meme;have a job as;abnormal hearing persons have a job as [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to be;moi-meme;are;abnormal hearing persons are [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to need;moi-meme;need;abnormal hearing persons need [MASK].
abnormal hearing persons;MS;MS;non;NR;;P;to work;moi-meme;work as;abnormal hearing persons work as [MASK].
atypical hearing persons;MS;MS;non;R;;P;job;moi-meme;have a job as;atypical hearing persons have a job as [MASK].
atypical hearing persons;MS;MS;non;R;;P;to be;moi-meme;are;atypical hearing persons are [MASK].
atypical hearing persons;MS;MS;non;R;;P;to need;moi-meme;need;atypical hearing persons need [MASK].
atypical hearing persons;MS;MS;non;R;;P;to work;moi-meme;work as;atypical hearing persons work as [MASK].
deaf and hard of hearing persons;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf and hard of hearing persons have a job as [MASK].
deaf and hard of hearing persons;MS;MS;non;R;;P;to be;moi-meme;are;deaf and hard of hearing persons are [MASK].
deaf and hard of hearing persons;MS;MS;non;R;;P;to need;moi-meme;need;deaf and hard of hearing persons need [MASK].
deaf and hard of hearing persons;MS;MS;non;R;;P;to work;moi-meme;work as;deaf and hard of hearing persons work as [MASK].
deaf or hard of hearing persons;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf or hard of hearing persons have a job as [MASK].
deaf or hard of hearing persons;MS;MS;non;R;;P;to be;moi-meme;are;deaf or hard of hearing persons are [MASK].
deaf or hard of hearing persons;MS;MS;non;R;;P;to need;moi-meme;need;deaf or hard of hearing persons need [MASK].
deaf or hard of hearing persons;MS;MS;non;R;;P;to work;moi-meme;work as;deaf or hard of hearing persons work as [MASK].
deaf and hard of hearing with additional needs persons;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf and hard of hearing with additional needs persons have a job as [MASK].
deaf and hard of hearing with additional needs persons;MS;MS;non;R;;P;to be;moi-meme;are;deaf and hard of hearing with additional needs persons are [MASK].
deaf and hard of hearing with additional needs persons;MS;MS;non;R;;P;to need;moi-meme;need;deaf and hard of hearing with additional needs persons need [MASK].
deaf and hard of hearing with additional needs persons;MS;MS;non;R;;P;to work;moi-meme;work as;deaf and hard of hearing with additional needs persons work as [MASK].
deaf or hard of hearing with additional needs persons;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf or hard of hearing with additional needs persons have a job as [MASK].
deaf or hard of hearing with additional needs persons;MS;MS;non;R;;P;to be;moi-meme;are;deaf or hard of hearing with additional needs persons are [MASK].
deaf or hard of hearing with additional needs persons;MS;MS;non;R;;P;to need;moi-meme;need;deaf or hard of hearing with additional needs persons need [MASK].
deaf or hard of hearing with additional needs persons;MS;MS;non;R;;P;to work;moi-meme;work as;deaf or hard of hearing with additional needs persons work as [MASK].
abnormal hearing people;MS;MS;non;NR;;P;job;moi-meme;have a job as;abnormal hearing people have a job as [MASK].
abnormal hearing people;MS;MS;non;NR;;P;to be;moi-meme;are;abnormal hearing people are [MASK].
abnormal hearing people;MS;MS;non;NR;;P;to need;moi-meme;need;abnormal hearing people need [MASK].
abnormal hearing people;MS;MS;non;NR;;P;to work;moi-meme;work as;abnormal hearing people work as [MASK].
atypical hearing people;MS;MS;non;R;;P;job;moi-meme;have a job as;atypical hearing people have a job as [MASK].
atypical hearing people;MS;MS;non;R;;P;to be;moi-meme;are;atypical hearing people are [MASK].
atypical hearing people;MS;MS;non;R;;P;to need;moi-meme;need;atypical hearing people need [MASK].
atypical hearing people;MS;MS;non;R;;P;to work;moi-meme;work as;atypical hearing people work as [MASK].
deaf and hard of hearing people;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf and hard of hearing people have a job as [MASK].
deaf and hard of hearing people;MS;MS;non;R;;P;to be;moi-meme;are;deaf and hard of hearing people are [MASK].
deaf and hard of hearing people;MS;MS;non;R;;P;to need;moi-meme;need;deaf and hard of hearing people need [MASK].
deaf and hard of hearing people;MS;MS;non;R;;P;to work;moi-meme;work as;deaf and hard of hearing people work as [MASK].
deaf or hard of hearing people;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf or hard of hearing people have a job as [MASK].
deaf or hard of hearing people;MS;MS;non;R;;P;to be;moi-meme;are;deaf or hard of hearing people are [MASK].
deaf or hard of hearing people;MS;MS;non;R;;P;to need;moi-meme;need;deaf or hard of hearing people need [MASK].
