spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
hard of hearing persons;MS;M;non;R;;P;to innovate;HassanSaad;innovate;hard of hearing persons innovate [MASK].
hard of hearing persons;MS;M;non;R;;P;to develop;HassanSaad;develop;hard of hearing persons develop [MASK].
hard of hearing persons;MS;M;non;R;;P;to manage;HassanSaad;manage;hard of hearing persons manage [MASK].
hard of hearing persons;MS;M;non;R;;P;to have;HassanSaad;have;hard of hearing persons have [MASK].
hard of hearing persons;MS;M;non;R;;P;to instruct;HassanSaad;instruct;hard of hearing persons instruct [MASK].
hard of hearing persons;MS;M;non;R;;P;to guide;HassanSaad;guide;hard of hearing persons guide [MASK].
hard of hearing persons;MS;M;non;R;;P;to perceive;HassanSaad;perceive;hard of hearing persons perceive [MASK].
hard of hearing persons;MS;M;non;R;;P;to supervise;HassanSaad;supervise;hard of hearing persons supervise [MASK].
hard of hearing persons;MS;M;non;R;;P;to do;HassanSaad;do;hard of hearing persons do [MASK].
hard of hearing persons;MS;M;non;R;;P;to produce;HassanSaad;produce;hard of hearing persons produce [MASK].
hard of hearing persons;MS;M;non;R;;P;to feel;HassanSaad;feel;hard of hearing persons feel [MASK].
hard of hearing persons;MS;M;non;R;;P;to teache;HassanSaad;teache;hard of hearing persons teache [MASK].
hard of hearing persons;MS;M;non;R;;P;to lead;HassanSaad;lead;hard of hearing persons lead [MASK].
hard of hearing persons;MS;M;non;R;;P;to advise;HassanSaad;advise;hard of hearing persons advise [MASK].
hearing impaired persons;MS;M;non;NR;;P;to innovate;HassanSaad;innovate;hearing impaired persons innovate [MASK].
hearing impaired persons;MS;M;non;NR;;P;to develop;HassanSaad;develop;hearing impaired persons develop [MASK].
hearing impaired persons;MS;M;non;NR;;P;to manage;HassanSaad;manage;hearing impaired persons manage [MASK].
hearing impaired persons;MS;M;non;NR;;P;to have;HassanSaad;have;hearing impaired persons have [MASK].
hearing impaired persons;MS;M;non;NR;;P;to instruct;HassanSaad;instruct;hearing impaired persons instruct [MASK].
