spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
normal hearing persons;NMS;NMS;non;NR;;P;to innovate;HassanSaad;innovate;normal hearing persons innovate [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to develop;HassanSaad;develop;normal hearing persons develop [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to manage;HassanSaad;manage;normal hearing persons manage [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to have;HassanSaad;have;normal hearing persons have [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to instruct;HassanSaad;instruct;normal hearing persons instruct [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to guide;HassanSaad;guide;normal hearing persons guide [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to perceive;HassanSaad;perceive;normal hearing persons perceive [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to supervise;HassanSaad;supervise;normal hearing persons supervise [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to do;HassanSaad;do;normal hearing persons do [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to produce;HassanSaad;produce;normal hearing persons produce [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to feel;HassanSaad;feel;normal hearing persons feel [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to teache;HassanSaad;teache;normal hearing persons teache [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to lead;HassanSaad;lead;normal hearing persons lead [MASK].
normal hearing persons;NMS;NMS;non;NR;;P;to advise;HassanSaad;advise;normal hearing persons advise [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to innovate;HassanSaad;innovate;typical hearing persons innovate [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to develop;HassanSaad;develop;typical hearing persons develop [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to manage;HassanSaad;manage;typical hearing persons manage [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to have;HassanSaad;have;typical hearing persons have [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to instruct;HassanSaad;instruct;typical hearing persons instruct [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to guide;HassanSaad;guide;typical hearing persons guide [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to perceive;HassanSaad;perceive;typical hearing persons perceive [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to supervise;HassanSaad;supervise;typical hearing persons supervise [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to do;HassanSaad;do;typical hearing persons do [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to produce;HassanSaad;produce;typical hearing persons produce [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to feel;HassanSaad;feel;typical hearing persons feel [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to teache;HassanSaad;teache;typical hearing persons teache [MASK].
typical hearing persons;NMS;NMS;non;R;;P;to lead;HassanSaad;lead;typical hearing persons lead [MASK].
