spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
persons;N;N;non;R;;P;to innovate;HassanSaad;innovate;persons innovate [MASK].
persons;N;N;non;R;;P;to develop;HassanSaad;develop;persons develop [MASK].
persons;N;N;non;R;;P;to manage;HassanSaad;manage;persons manage [MASK].
persons;N;N;non;R;;P;to have;HassanSaad;have;persons have [MASK].
persons;N;N;non;R;;P;to instruct;HassanSaad;instruct;persons instruct [MASK].
persons;N;N;non;R;;P;to guide;HassanSaad;guide;persons guide [MASK].
persons;N;N;non;R;;P;to perceive;HassanSaad;perceive;persons perceive [MASK].
persons;N;N;non;R;;P;to supervise;HassanSaad;supervise;persons supervise [MASK].
persons;N;N;non;R;;P;to do;HassanSaad;do;persons do [MASK].
persons;N;N;non;R;;P;to produce;HassanSaad;produce;persons produce [MASK].
persons;N;N;non;R;;P;to feel;HassanSaad;feel;persons feel [MASK].
persons;N;N;non;R;;P;to teache;HassanSaad;teache;persons teache [MASK].
persons;N;N;non;R;;P;to lead;HassanSaad;lead;persons lead [MASK].
persons;N;N;non;R;;P;to advise;HassanSaad;advise;persons advise [MASK].
people;N;N;non;R;;P;to innovate;HassanSaad;innovate;people innovate [MASK].
people;N;N;non;R;;P;to develop;HassanSaad;develop;people develop [MASK].
people;N;N;non;R;;P;to manage;HassanSaad;manage;people manage [MASK].
people;N;N;non;R;;P;to have;HassanSaad;have;people have [MASK].
people;N;N;non;R;;P;to instruct;HassanSaad;instruct;people instruct [MASK].
people;N;N;non;R;;P;to guide;HassanSaad;guide;people guide [MASK].
people;N;N;non;R;;P;to perceive;HassanSaad;perceive;people perceive [MASK].
people;N;N;non;R;;P;to supervise;HassanSaad;supervise;people supervise [MASK].
people;N;N;non;R;;P;to do;HassanSaad;do;people do [MASK].
people;N;N;non;R;;P;to produce;HassanSaad;produce;people produce [MASK].
people;N;N;non;R;;P;to feel;HassanSaad;feel;people feel [MASK].
people;N;N;non;R;;P;to teache;HassanSaad;teache;people teache [MASK].
people;N;N;non;R;;P;to lead;HassanSaad;lead;people lead [MASK].
people;N;N;non;R;;P;to advise;HassanSaad;advise;people advise [MASK].
everyone;N;N;non;R;;P;to innovate;HassanSaad;innovate;everyone innovate [MASK].
everyone;N;N;non;R;;P;to develop;HassanSaad;develop;everyone develop [MASK].
everyone;N;N;non;R;;P;to manage;HassanSaad;manage;everyone manage [MASK].
everyone;N;N;non;R;;P;to have;HassanSaad;have;everyone have [MASK].
everyone;N;N;non;R;;P;to instruct;HassanSaad;instruct;everyone instruct [MASK].
everyone;N;N;non;R;;P;to guide;HassanSaad;guide;everyone guide [MASK].
everyone;N;N;non;R;;P;to perceive;HassanSaad;perceive;everyone perceive [MASK].
everyone;N;N;non;R;;P;to supervise;HassanSaad;supervise;everyone supervise [MASK].
everyone;N;N;non;R;;P;to do;HassanSaad;do;everyone do [MASK].
everyone;N;N;non;R;;P;to produce;HassanSaad;produce;everyone produce [MASK].
everyone;N;N;non;R;;P;to feel;HassanSaad;feel;everyone feel [MASK].
everyone;N;N;non;R;;P;to teache;HassanSaad;teache;everyone teache [MASK].
everyone;N;N;non;R;;P;to lead;HassanSaad;lead;everyone lead [MASK].
everyone;N;N;non;R;;P;to advise;HassanSaad;advise;everyone advise [MASK].
everybody;N;N;non;R;;P;to innovate;HassanSaad;innovate;everybody innovate [MASK].
everybody;N;N;non;R;;P;to develop;HassanSaad;develop;everybody develop [MASK].
everybody;N;N;non;R;;P;to manage;HassanSaad;manage;everybody manage [MASK].
everybody;N;N;non;R;;P;to have;HassanSaad;have;everybody have [MASK].
everybody;N;N;non;R;;P;to instruct;HassanSaad;instruct;everybody instruct [MASK].
everybody;N;N;non;R;;P;to guide;HassanSaad;guide;everybody guide [MASK].
everybody;N;N;non;R;;P;to perceive;HassanSaad;perceive;everybody perceive [MASK].
