spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
Deaf-blind persons;SA;SA;non;R;;P;to innovate;HassanSaad;innovate;Deaf-blind persons innovate [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to develop;HassanSaad;develop;Deaf-blind persons develop [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to manage;HassanSaad;manage;Deaf-blind persons manage [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to have;HassanSaad;have;Deaf-blind persons have [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to instruct;HassanSaad;instruct;Deaf-blind persons instruct [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to guide;HassanSaad;guide;Deaf-blind persons guide [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to perceive;HassanSaad;perceive;Deaf-blind persons perceive [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to supervise;HassanSaad;supervise;Deaf-blind persons supervise [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to do;HassanSaad;do;Deaf-blind persons do [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to produce;HassanSaad;produce;Deaf-blind persons produce [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to feel;HassanSaad;feel;Deaf-blind persons feel [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to teache;HassanSaad;teache;Deaf-blind persons teache [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to lead;HassanSaad;lead;Deaf-blind persons lead [MASK].
Deaf-blind persons;SA;SA;non;R;;P;to advise;HassanSaad;advise;Deaf-blind persons advise [MASK].
Deafblind persons;SA;SA;non;R;;P;to innovate;HassanSaad;innovate;Deafblind persons innovate [MASK].
Deafblind persons;SA;SA;non;R;;P;to develop;HassanSaad;develop;Deafblind persons develop [MASK].
Deafblind persons;SA;SA;non;R;;P;to manage;HassanSaad;manage;Deafblind persons manage [MASK].
Deafblind persons;SA;SA;non;R;;P;to have;HassanSaad;have;Deafblind persons have [MASK].
Deafblind persons;SA;SA;non;R;;P;to instruct;HassanSaad;instruct;Deafblind persons instruct [MASK].
Deafblind persons;SA;SA;non;R;;P;to guide;HassanSaad;guide;Deafblind persons guide [MASK].
Deafblind persons;SA;SA;non;R;;P;to perceive;HassanSaad;perceive;Deafblind persons perceive [MASK].
Deafblind persons;SA;SA;non;R;;P;to supervise;HassanSaad;supervise;Deafblind persons supervise [MASK].
Deafblind persons;SA;SA;non;R;;P;to do;HassanSaad;do;Deafblind persons do [MASK].
Deafblind persons;SA;SA;non;R;;P;to produce;HassanSaad;produce;Deafblind persons produce [MASK].
Deafblind persons;SA;SA;non;R;;P;to feel;HassanSaad;feel;Deafblind persons feel [MASK].
Deafblind persons;SA;SA;non;R;;P;to teache;HassanSaad;teache;Deafblind persons teache [MASK].
Deafblind persons;SA;SA;non;R;;P;to lead;HassanSaad;lead;Deafblind persons lead [MASK].
Deafblind persons;SA;SA;non;R;;P;to advise;HassanSaad;advise;Deafblind persons advise [MASK].
deafblind persons;SA;SA;non;R;;P;to innovate;HassanSaad;innovate;deafblind persons innovate [MASK].
deafblind persons;SA;SA;non;R;;P;to develop;HassanSaad;develop;deafblind persons develop [MASK].
deafblind persons;SA;SA;non;R;;P;to manage;HassanSaad;manage;deafblind persons manage [MASK].
deafblind persons;SA;SA;non;R;;P;to have;HassanSaad;have;deafblind persons have [MASK].
deafblind persons;SA;SA;non;R;;P;to instruct;HassanSaad;instruct;deafblind persons instruct [MASK].
deafblind persons;SA;SA;non;R;;P;to guide;HassanSaad;guide;deafblind persons guide [MASK].
deafblind persons;SA;SA;non;R;;P;to perceive;HassanSaad;perceive;deafblind persons perceive [MASK].
deafblind persons;SA;SA;non;R;;P;to supervise;HassanSaad;supervise;deafblind persons supervise [MASK].
deafblind persons;SA;SA;non;R;;P;to do;HassanSaad;do;deafblind persons do [MASK].
deafblind persons;SA;SA;non;R;;P;to produce;HassanSaad;produce;deafblind persons produce [MASK].
deafblind persons;SA;SA;non;R;;P;to feel;HassanSaad;feel;deafblind persons feel [MASK].
deafblind persons;SA;SA;non;R;;P;to teache;HassanSaad;teache;deafblind persons teache [MASK].
deafblind persons;SA;SA;non;R;;P;to lead;HassanSaad;lead;deafblind persons lead [MASK].
deafblind persons;SA;SA;non;R;;P;to advise;HassanSaad;advise;deafblind persons advise [MASK].
Deafblind persons;SA;SA;non;R;;P;to innovate;HassanSaad;innovate;Deafblind persons innovate [MASK].
Deafblind persons;SA;SA;non;R;;P;to develop;HassanSaad;develop;Deafblind persons develop [MASK].
Deafblind persons;SA;SA;non;R;;P;to manage;HassanSaad;manage;Deafblind persons manage [MASK].
Deafblind persons;SA;SA;non;R;;P;to have;HassanSaad;have;Deafblind persons have [MASK].
Deafblind persons;SA;SA;non;R;;P;to instruct;HassanSaad;instruct;Deafblind persons instruct [MASK].
Deafblind persons;SA;SA;non;R;;P;to guide;HassanSaad;guide;Deafblind persons guide [MASK].
Deafblind persons;SA;SA;non;R;;P;to perceive;HassanSaad;perceive;Deafblind persons perceive [MASK].
Deafblind persons;SA;SA;non;R;;P;to supervise;HassanSaad;supervise;Deafblind persons supervise [MASK].
Deafblind persons;SA;SA;non;R;;P;to do;HassanSaad;do;Deafblind persons do [MASK].
Deafblind persons;SA;SA;non;R;;P;to produce;HassanSaad;produce;Deafblind persons produce [MASK].
Deafblind persons;SA;SA;non;R;;P;to feel;HassanSaad;feel;Deafblind persons feel [MASK].
Deafblind persons;SA;SA;non;R;;P;to teache;HassanSaad;teache;Deafblind persons teache [MASK].
Deafblind persons;SA;SA;non;R;;P;to lead;HassanSaad;lead;Deafblind persons lead [MASK].
Deafblind persons;SA;SA;non;R;;P;to advise;HassanSaad;advise;Deafblind persons advise [MASK].
deafblindness persons;SA;SA;non;R;;P;to innovate;HassanSaad;innovate;deafblindness persons innovate [MASK].
deafblindness persons;SA;SA;non;R;;P;to develop;HassanSaad;develop;deafblindness persons develop [MASK].
