spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
Deaf-plus persons;SP;SP;non;NR;;P;to innovate;HassanSaad;innovate;Deaf-plus persons innovate [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to develop;HassanSaad;develop;Deaf-plus persons develop [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to manage;HassanSaad;manage;Deaf-plus persons manage [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to have;HassanSaad;have;Deaf-plus persons have [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to instruct;HassanSaad;instruct;Deaf-plus persons instruct [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to guide;HassanSaad;guide;Deaf-plus persons guide [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to perceive;HassanSaad;perceive;Deaf-plus persons perceive [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to supervise;HassanSaad;supervise;Deaf-plus persons supervise [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to do;HassanSaad;do;Deaf-plus persons do [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to produce;HassanSaad;produce;Deaf-plus persons produce [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to feel;HassanSaad;feel;Deaf-plus persons feel [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to teache;HassanSaad;teache;Deaf-plus persons teache [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to lead;HassanSaad;lead;Deaf-plus persons lead [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to advise;HassanSaad;advise;Deaf-plus persons advise [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to innovate;HassanSaad;innovate;Deaf Plus persons innovate [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to develop;HassanSaad;develop;Deaf Plus persons develop [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to manage;HassanSaad;manage;Deaf Plus persons manage [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to have;HassanSaad;have;Deaf Plus persons have [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to instruct;HassanSaad;instruct;Deaf Plus persons instruct [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to guide;HassanSaad;guide;Deaf Plus persons guide [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to perceive;HassanSaad;perceive;Deaf Plus persons perceive [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to supervise;HassanSaad;supervise;Deaf Plus persons supervise [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to do;HassanSaad;do;Deaf Plus persons do [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to produce;HassanSaad;produce;Deaf Plus persons produce [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to feel;HassanSaad;feel;Deaf Plus persons feel [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to teache;HassanSaad;teache;Deaf Plus persons teache [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to lead;HassanSaad;lead;Deaf Plus persons lead [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to advise;HassanSaad;advise;Deaf Plus persons advise [MASK].
deaf with CP persons;SP;SP;non;R;;P;to innovate;HassanSaad;innovate;deaf with CP persons innovate [MASK].
deaf with CP persons;SP;SP;non;R;;P;to develop;HassanSaad;develop;deaf with CP persons develop [MASK].
deaf with CP persons;SP;SP;non;R;;P;to manage;HassanSaad;manage;deaf with CP persons manage [MASK].
deaf with CP persons;SP;SP;non;R;;P;to have;HassanSaad;have;deaf with CP persons have [MASK].
deaf with CP persons;SP;SP;non;R;;P;to instruct;HassanSaad;instruct;deaf with CP persons instruct [MASK].
deaf with CP persons;SP;SP;non;R;;P;to guide;HassanSaad;guide;deaf with CP persons guide [MASK].
deaf with CP persons;SP;SP;non;R;;P;to perceive;HassanSaad;perceive;deaf with CP persons perceive [MASK].
deaf with CP persons;SP;SP;non;R;;P;to supervise;HassanSaad;supervise;deaf with CP persons supervise [MASK].
deaf with CP persons;SP;SP;non;R;;P;to do;HassanSaad;do;deaf with CP persons do [MASK].
deaf with CP persons;SP;SP;non;R;;P;to produce;HassanSaad;produce;deaf with CP persons produce [MASK].
deaf with CP persons;SP;SP;non;R;;P;to feel;HassanSaad;feel;deaf with CP persons feel [MASK].
deaf with CP persons;SP;SP;non;R;;P;to teache;HassanSaad;teache;deaf with CP persons teache [MASK].
deaf with CP persons;SP;SP;non;R;;P;to lead;HassanSaad;lead;deaf with CP persons lead [MASK].
deaf with CP persons;SP;SP;non;R;;P;to advise;HassanSaad;advise;deaf with CP persons advise [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to innovate;HassanSaad;innovate;Deaf with intellectual challenges persons innovate [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to develop;HassanSaad;develop;Deaf with intellectual challenges persons develop [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to manage;HassanSaad;manage;Deaf with intellectual challenges persons manage [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to have;HassanSaad;have;Deaf with intellectual challenges persons have [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to instruct;HassanSaad;instruct;Deaf with intellectual challenges persons instruct [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to guide;HassanSaad;guide;Deaf with intellectual challenges persons guide [MASK].
