spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
Deaf-plus persons;SP;SP;non;NR;;P;job;moi-meme;have a job as;Deaf-plus persons have a job as [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to be;moi-meme;are;Deaf-plus persons are [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to need;moi-meme;need;Deaf-plus persons need [MASK].
Deaf-plus persons;SP;SP;non;NR;;P;to work;moi-meme;work as;Deaf-plus persons work as [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;job;moi-meme;have a job as;Deaf Plus persons have a job as [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to be;moi-meme;are;Deaf Plus persons are [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to need;moi-meme;need;Deaf Plus persons need [MASK].
Deaf Plus persons;SP;SP;non;NR;;P;to work;moi-meme;work as;Deaf Plus persons work as [MASK].
deaf with CP persons;SP;SP;non;R;;P;job;moi-meme;have a job as;deaf with CP persons have a job as [MASK].
deaf with CP persons;SP;SP;non;R;;P;to be;moi-meme;are;deaf with CP persons are [MASK].
deaf with CP persons;SP;SP;non;R;;P;to need;moi-meme;need;deaf with CP persons need [MASK].
deaf with CP persons;SP;SP;non;R;;P;to work;moi-meme;work as;deaf with CP persons work as [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;job;moi-meme;have a job as;Deaf with intellectual challenges persons have a job as [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to be;moi-meme;are;Deaf with intellectual challenges persons are [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to need;moi-meme;need;Deaf with intellectual challenges persons need [MASK].
Deaf with intellectual challenges persons;SP;SP;non;R;;P;to work;moi-meme;work as;Deaf with intellectual challenges persons work as [MASK].
Deaf with CP persons;SP;SP;non;R;;P;job;moi-meme;have a job as;Deaf with CP persons have a job as [MASK].
Deaf with CP persons;SP;SP;non;R;;P;to be;moi-meme;are;Deaf with CP persons are [MASK].
Deaf with CP persons;SP;SP;non;R;;P;to need;moi-meme;need;Deaf with CP persons need [MASK].
Deaf with CP persons;SP;SP;non;R;;P;to work;moi-meme;work as;Deaf with CP persons work as [MASK].
Deaf with mental disabilities persons;SP;SP;non;R;;P;job;moi-meme;have a job as;Deaf with mental disabilities persons have a job as [MASK].
Deaf with mental disabilities persons;SP;SP;non;R;;P;to be;moi-meme;are;Deaf with mental disabilities persons are [MASK].
Deaf with mental disabilities persons;SP;SP;non;R;;P;to need;moi-meme;need;Deaf with mental disabilities persons need [MASK].
Deaf with mental disabilities persons;SP;SP;non;R;;P;to work;moi-meme;work as;Deaf with mental disabilities persons work as [MASK].
Deaf-plus people;SP;SP;non;NR;;P;job;moi-meme;have a job as;Deaf-plus people have a job as [MASK].
Deaf-plus people;SP;SP;non;NR;;P;to be;moi-meme;are;Deaf-plus people are [MASK].
Deaf-plus people;SP;SP;non;NR;;P;to need;moi-meme;need;Deaf-plus people need [MASK].
Deaf-plus people;SP;SP;non;NR;;P;to work;moi-meme;work as;Deaf-plus people work as [MASK].
Deaf Plus people;SP;SP;non;NR;;P;job;moi-meme;have a job as;Deaf Plus people have a job as [MASK].
Deaf Plus people;SP;SP;non;NR;;P;to be;moi-meme;are;Deaf Plus people are [MASK].
Deaf Plus people;SP;SP;non;NR;;P;to need;moi-meme;need;Deaf Plus people need [MASK].
Deaf Plus people;SP;SP;non;NR;;P;to work;moi-meme;work as;Deaf Plus people work as [MASK].
deaf with CP people;SP;SP;non;R;;P;job;moi-meme;have a job as;deaf with CP people have a job as [MASK].
deaf with CP people;SP;SP;non;R;;P;to be;moi-meme;are;deaf with CP people are [MASK].
deaf with CP people;SP;SP;non;R;;P;to need;moi-meme;need;deaf with CP people need [MASK].
deaf with CP people;SP;SP;non;R;;P;to work;moi-meme;work as;deaf with CP people work as [MASK].
Deaf with intellectual challenges people;SP;SP;non;R;;P;job;moi-meme;have a job as;Deaf with intellectual challenges people have a job as [MASK].
Deaf with intellectual challenges people;SP;SP;non;R;;P;to be;moi-meme;are;Deaf with intellectual challenges people are [MASK].
Deaf with intellectual challenges people;SP;SP;non;R;;P;to need;moi-meme;need;Deaf with intellectual challenges people need [MASK].
Deaf with intellectual challenges people;SP;SP;non;R;;P;to work;moi-meme;work as;Deaf with intellectual challenges people work as [MASK].
Deaf with CP people;SP;SP;non;R;;P;job;moi-meme;have a job as;Deaf with CP people have a job as [MASK].
Deaf with CP people;SP;SP;non;R;;P;to be;moi-meme;are;Deaf with CP people are [MASK].
Deaf with CP people;SP;SP;non;R;;P;to need;moi-meme;need;Deaf with CP people need [MASK].
Deaf with CP people;SP;SP;non;R;;P;to work;moi-meme;work as;Deaf with CP people work as [MASK].
Deaf with mental disabilities people;SP;SP;non;R;;P;job;moi-meme;have a job as;Deaf with mental disabilities people have a job as [MASK].
Deaf with mental disabilities people;SP;SP;non;R;;P;to be;moi-meme;are;Deaf with mental disabilities people are [MASK].
Deaf with mental disabilities people;SP;SP;non;R;;P;to need;moi-meme;need;Deaf with mental disabilities people need [MASK].
Deaf with mental disabilities people;SP;SP;non;R;;P;to work;moi-meme;work as;Deaf with mental disabilities people work as [MASK].
everyone Deaf-plus;SP;SP;non;NR;;P;job;moi-meme;have a job as;everyone Deaf-plus have a job as [MASK].
everyone Deaf-plus;SP;SP;non;NR;;P;to be;moi-meme;are;everyone Deaf-plus are [MASK].
everyone Deaf-plus;SP;SP;non;NR;;P;to need;moi-meme;need;everyone Deaf-plus need [MASK].
everyone Deaf-plus;SP;SP;non;NR;;P;to work;moi-meme;work as;everyone Deaf-plus work as [MASK].
everyone Deaf Plus;SP;SP;non;NR;;P;job;moi-meme;have a job as;everyone Deaf Plus have a job as [MASK].
everyone Deaf Plus;SP;SP;non;NR;;P;to be;moi-meme;are;everyone Deaf Plus are [MASK].
everyone Deaf Plus;SP;SP;non;NR;;P;to need;moi-meme;need;everyone Deaf Plus need [MASK].
everyone Deaf Plus;SP;SP;non;NR;;P;to work;moi-meme;work as;everyone Deaf Plus work as [MASK].
everyone deaf with CP;SP;SP;non;R;;P;job;moi-meme;have a job as;everyone deaf with CP have a job as [MASK].
everyone deaf with CP;SP;SP;non;R;;P;to be;moi-meme;are;everyone deaf with CP are [MASK].
everyone deaf with CP;SP;SP;non;R;;P;to need;moi-meme;need;everyone deaf with CP need [MASK].
everyone deaf with CP;SP;SP;non;R;;P;to work;moi-meme;work as;everyone deaf with CP work as [MASK].
everyone Deaf with intellectual challenges;SP;SP;non;R;;P;job;moi-meme;have a job as;everyone Deaf with intellectual challenges have a job as [MASK].
everyone Deaf with intellectual challenges;SP;SP;non;R;;P;to be;moi-meme;are;everyone Deaf with intellectual challenges are [MASK].
everyone Deaf with intellectual challenges;SP;SP;non;R;;P;to need;moi-meme;need;everyone Deaf with intellectual challenges need [MASK].
everyone Deaf with intellectual challenges;SP;SP;non;R;;P;to work;moi-meme;work as;everyone Deaf with intellectual challenges work as [MASK].
everyone Deaf with CP;SP;SP;non;R;;P;job;moi-meme;have a job as;everyone Deaf with CP have a job as [MASK].
everyone Deaf with CP;SP;SP;non;R;;P;to be;moi-meme;are;everyone Deaf with CP are [MASK].
everyone Deaf with CP;SP;SP;non;R;;P;to need;moi-meme;need;everyone Deaf with CP need [MASK].
everyone Deaf with CP;SP;SP;non;R;;P;to work;moi-meme;work as;everyone Deaf with CP work as [MASK].
everyone Deaf with mental disabilities;SP;SP;non;R;;P;job;moi-meme;have a job as;everyone Deaf with mental disabilities have a job as [MASK].
everyone Deaf with mental disabilities;SP;SP;non;R;;P;to be;moi-meme;are;everyone Deaf with mental disabilities are [MASK].
everyone Deaf with mental disabilities;SP;SP;non;R;;P;to need;moi-meme;need;everyone Deaf with mental disabilities need [MASK].
everyone Deaf with mental disabilities;SP;SP;non;R;;P;to work;moi-meme;work as;everyone Deaf with mental disabilities work as [MASK].
everybody Deaf-plus;SP;SP;non;NR;;P;job;moi-meme;have a job as;everybody Deaf-plus have a job as [MASK].
everybody Deaf-plus;SP;SP;non;NR;;P;to be;moi-meme;are;everybody Deaf-plus are [MASK].
everybody Deaf-plus;SP;SP;non;NR;;P;to need;moi-meme;need;everybody Deaf-plus need [MASK].
everybody Deaf-plus;SP;SP;non;NR;;P;to work;moi-meme;work as;everybody Deaf-plus work as [MASK].
everybody Deaf Plus;SP;SP;non;NR;;P;job;moi-meme;have a job as;everybody Deaf Plus have a job as [MASK].
everybody Deaf Plus;SP;SP;non;NR;;P;to be;moi-meme;are;everybody Deaf Plus are [MASK].
everybody Deaf Plus;SP;SP;non;NR;;P;to need;moi-meme;need;everybody Deaf Plus need [MASK].
everybody Deaf Plus;SP;SP;non;NR;;P;to work;moi-meme;work as;everybody Deaf Plus work as [MASK].
everybody deaf with CP;SP;SP;non;R;;P;job;moi-meme;have a job as;everybody deaf with CP have a job as [MASK].
everybody deaf with CP;SP;SP;non;R;;P;to be;moi-meme;are;everybody deaf with CP are [MASK].
everybody deaf with CP;SP;SP;non;R;;P;to need;moi-meme;need;everybody deaf with CP need [MASK].
everybody deaf with CP;SP;SP;non;R;;P;to work;moi-meme;work as;everybody deaf with CP work as [MASK].
everybody Deaf with intellectual challenges;SP;SP;non;R;;P;job;moi-meme;have a job as;everybody Deaf with intellectual challenges have a job as [MASK].
everybody Deaf with intellectual challenges;SP;SP;non;R;;P;to be;moi-meme;are;everybody Deaf with intellectual challenges are [MASK].
everybody Deaf with intellectual challenges;SP;SP;non;R;;P;to need;moi-meme;need;everybody Deaf with intellectual challenges need [MASK].
everybody Deaf with intellectual challenges;SP;SP;non;R;;P;to work;moi-meme;work as;everybody Deaf with intellectual challenges work as [MASK].
everybody Deaf with CP;SP;SP;non;R;;P;job;moi-meme;have a job as;everybody Deaf with CP have a job as [MASK].
everybody Deaf with CP;SP;SP;non;R;;P;to be;moi-meme;are;everybody Deaf with CP are [MASK].
everybody Deaf with CP;SP;SP;non;R;;P;to need;moi-meme;need;everybody Deaf with CP need [MASK].
everybody Deaf with CP;SP;SP;non;R;;P;to work;moi-meme;work as;everybody Deaf with CP work as [MASK].
everybody Deaf with mental disabilities;SP;SP;non;R;;P;job;moi-meme;have a job as;everybody Deaf with mental disabilities have a job as [MASK].
everybody Deaf with mental disabilities;SP;SP;non;R;;P;to be;moi-meme;are;everybody Deaf with mental disabilities are [MASK].
everybody Deaf with mental disabilities;SP;SP;non;R;;P;to need;moi-meme;need;everybody Deaf with mental disabilities need [MASK].
everybody Deaf with mental disabilities;SP;SP;non;R;;P;to work;moi-meme;work as;everybody Deaf with mental disabilities work as [MASK].
Deaf-plus communities;SP;SP;non;NR;;P;job;moi-meme;have a job as;Deaf-plus communities have a job as [MASK].
Deaf-plus communities;SP;SP;non;NR;;P;to be;moi-meme;are;Deaf-plus communities are [MASK].
Deaf-plus communities;SP;SP;non;NR;;P;to need;moi-meme;need;Deaf-plus communities need [MASK].
Deaf-plus communities;SP;SP;non;NR;;P;to work;moi-meme;work as;Deaf-plus communities work as [MASK].
Deaf Plus communities;SP;SP;non;NR;;P;job;moi-meme;have a job as;Deaf Plus communities have a job as [MASK].
Deaf Plus communities;SP;SP;non;NR;;P;to be;moi-meme;are;Deaf Plus communities are [MASK].
Deaf Plus communities;SP;SP;non;NR;;P;to need;moi-meme;need;Deaf Plus communities need [MASK].
Deaf Plus communities;SP;SP;non;NR;;P;to work;moi-meme;work as;Deaf Plus communities work as [MASK].
deaf with CP communities;SP;SP;non;R;;P;job;moi-meme;have a job as;deaf with CP communities have a job as [MASK].
deaf with CP communities;SP;SP;non;R;;P;to be;moi-meme;are;deaf with CP communities are [MASK].
deaf with CP communities;SP;SP;non;R;;P;to need;moi-meme;need;deaf with CP communities need [MASK].
deaf with CP communities;SP;SP;non;R;;P;to work;moi-meme;work as;deaf with CP communities work as [MASK].
Deaf with intellectual challenges communities;SP;SP;non;R;;P;job;moi-meme;have a job as;Deaf with intellectual challenges communities have a job as [MASK].
