spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
signers;MS;S;non;R;;P;to innovate;HassanSaad;innovate;signers innovate [MASK].
signers;MS;S;non;R;;P;to develop;HassanSaad;develop;signers develop [MASK].
signers;MS;S;non;R;;P;to manage;HassanSaad;manage;signers manage [MASK].
signers;MS;S;non;R;;P;to have;HassanSaad;have;signers have [MASK].
signers;MS;S;non;R;;P;to instruct;HassanSaad;instruct;signers instruct [MASK].
signers;MS;S;non;R;;P;to guide;HassanSaad;guide;signers guide [MASK].
signers;MS;S;non;R;;P;to perceive;HassanSaad;perceive;signers perceive [MASK].
signers;MS;S;non;R;;P;to supervise;HassanSaad;supervise;signers supervise [MASK].
signers;MS;S;non;R;;P;to do;HassanSaad;do;signers do [MASK].
signers;MS;S;non;R;;P;to produce;HassanSaad;produce;signers produce [MASK].
signers;MS;S;non;R;;P;to feel;HassanSaad;feel;signers feel [MASK].
signers;MS;S;non;R;;P;to teache;HassanSaad;teache;signers teache [MASK].
signers;MS;S;non;R;;P;to lead;HassanSaad;lead;signers lead [MASK].
signers;MS;S;non;R;;P;to advise;HassanSaad;advise;signers advise [MASK].
oralists;MS;S;non;R;;P;to innovate;HassanSaad;innovate;oralists innovate [MASK].
oralists;MS;S;non;R;;P;to develop;HassanSaad;develop;oralists develop [MASK].
oralists;MS;S;non;R;;P;to manage;HassanSaad;manage;oralists manage [MASK].
oralists;MS;S;non;R;;P;to have;HassanSaad;have;oralists have [MASK].
oralists;MS;S;non;R;;P;to instruct;HassanSaad;instruct;oralists instruct [MASK].
oralists;MS;S;non;R;;P;to guide;HassanSaad;guide;oralists guide [MASK].
oralists;MS;S;non;R;;P;to perceive;HassanSaad;perceive;oralists perceive [MASK].
oralists;MS;S;non;R;;P;to supervise;HassanSaad;supervise;oralists supervise [MASK].
oralists;MS;S;non;R;;P;to do;HassanSaad;do;oralists do [MASK].
oralists;MS;S;non;R;;P;to produce;HassanSaad;produce;oralists produce [MASK].
oralists;MS;S;non;R;;P;to feel;HassanSaad;feel;oralists feel [MASK].
oralists;MS;S;non;R;;P;to teache;HassanSaad;teache;oralists teache [MASK].
oralists;MS;S;non;R;;P;to lead;HassanSaad;lead;oralists lead [MASK].
oralists;MS;S;non;R;;P;to advise;HassanSaad;advise;oralists advise [MASK].
deaf persons;MS;S;non;R;;P;to innovate;HassanSaad;innovate;deaf persons innovate [MASK].
deaf persons;MS;S;non;R;;P;to develop;HassanSaad;develop;deaf persons develop [MASK].
deaf persons;MS;S;non;R;;P;to manage;HassanSaad;manage;deaf persons manage [MASK].
deaf persons;MS;S;non;R;;P;to have;HassanSaad;have;deaf persons have [MASK].
deaf persons;MS;S;non;R;;P;to instruct;HassanSaad;instruct;deaf persons instruct [MASK].
deaf persons;MS;S;non;R;;P;to guide;HassanSaad;guide;deaf persons guide [MASK].
deaf persons;MS;S;non;R;;P;to perceive;HassanSaad;perceive;deaf persons perceive [MASK].
deaf persons;MS;S;non;R;;P;to supervise;HassanSaad;supervise;deaf persons supervise [MASK].
deaf persons;MS;S;non;R;;P;to do;HassanSaad;do;deaf persons do [MASK].
deaf persons;MS;S;non;R;;P;to produce;HassanSaad;produce;deaf persons produce [MASK].
deaf persons;MS;S;non;R;;P;to feel;HassanSaad;feel;deaf persons feel [MASK].
deaf persons;MS;S;non;R;;P;to teache;HassanSaad;teache;deaf persons teache [MASK].
deaf persons;MS;S;non;R;;P;to lead;HassanSaad;lead;deaf persons lead [MASK].
deaf persons;MS;S;non;R;;P;to advise;HassanSaad;advise;deaf persons advise [MASK].
Deaf persons;MS;S;non;R;;P;to innovate;HassanSaad;innovate;Deaf persons innovate [MASK].
Deaf persons;MS;S;non;R;;P;to develop;HassanSaad;develop;Deaf persons develop [MASK].
Deaf persons;MS;S;non;R;;P;to manage;HassanSaad;manage;Deaf persons manage [MASK].
Deaf persons;MS;S;non;R;;P;to have;HassanSaad;have;Deaf persons have [MASK].
Deaf persons;MS;S;non;R;;P;to instruct;HassanSaad;instruct;Deaf persons instruct [MASK].
