spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts
valid persons;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;valid persons innovate [MASK].
valid persons;WD;WD;non;R;;P;to develop;HassanSaad;develop;valid persons develop [MASK].
valid persons;WD;WD;non;R;;P;to manage;HassanSaad;manage;valid persons manage [MASK].
valid persons;WD;WD;non;R;;P;to have;HassanSaad;have;valid persons have [MASK].
valid persons;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;valid persons instruct [MASK].
valid persons;WD;WD;non;R;;P;to guide;HassanSaad;guide;valid persons guide [MASK].
valid persons;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;valid persons perceive [MASK].
valid persons;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;valid persons supervise [MASK].
valid persons;WD;WD;non;R;;P;to do;HassanSaad;do;valid persons do [MASK].
valid persons;WD;WD;non;R;;P;to produce;HassanSaad;produce;valid persons produce [MASK].
valid persons;WD;WD;non;R;;P;to feel;HassanSaad;feel;valid persons feel [MASK].
valid persons;WD;WD;non;R;;P;to teache;HassanSaad;teache;valid persons teache [MASK].
valid persons;WD;WD;non;R;;P;to lead;HassanSaad;lead;valid persons lead [MASK].
valid persons;WD;WD;non;R;;P;to advise;HassanSaad;advise;valid persons advise [MASK].
non-disabled persons;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;non-disabled persons innovate [MASK].
non-disabled persons;WD;WD;non;R;;P;to develop;HassanSaad;develop;non-disabled persons develop [MASK].
non-disabled persons;WD;WD;non;R;;P;to manage;HassanSaad;manage;non-disabled persons manage [MASK].
non-disabled persons;WD;WD;non;R;;P;to have;HassanSaad;have;non-disabled persons have [MASK].
non-disabled persons;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;non-disabled persons instruct [MASK].
non-disabled persons;WD;WD;non;R;;P;to guide;HassanSaad;guide;non-disabled persons guide [MASK].
non-disabled persons;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;non-disabled persons perceive [MASK].
non-disabled persons;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;non-disabled persons supervise [MASK].
non-disabled persons;WD;WD;non;R;;P;to do;HassanSaad;do;non-disabled persons do [MASK].
non-disabled persons;WD;WD;non;R;;P;to produce;HassanSaad;produce;non-disabled persons produce [MASK].
non-disabled persons;WD;WD;non;R;;P;to feel;HassanSaad;feel;non-disabled persons feel [MASK].
non-disabled persons;WD;WD;non;R;;P;to teache;HassanSaad;teache;non-disabled persons teache [MASK].
non-disabled persons;WD;WD;non;R;;P;to lead;HassanSaad;lead;non-disabled persons lead [MASK].
non-disabled persons;WD;WD;non;R;;P;to advise;HassanSaad;advise;non-disabled persons advise [MASK].
non-handicapped persons;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;non-handicapped persons innovate [MASK].
non-handicapped persons;WD;WD;non;R;;P;to develop;HassanSaad;develop;non-handicapped persons develop [MASK].
non-handicapped persons;WD;WD;non;R;;P;to manage;HassanSaad;manage;non-handicapped persons manage [MASK].
non-handicapped persons;WD;WD;non;R;;P;to have;HassanSaad;have;non-handicapped persons have [MASK].
non-handicapped persons;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;non-handicapped persons instruct [MASK].
non-handicapped persons;WD;WD;non;R;;P;to guide;HassanSaad;guide;non-handicapped persons guide [MASK].
non-handicapped persons;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;non-handicapped persons perceive [MASK].
non-handicapped persons;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;non-handicapped persons supervise [MASK].
non-handicapped persons;WD;WD;non;R;;P;to do;HassanSaad;do;non-handicapped persons do [MASK].
non-handicapped persons;WD;WD;non;R;;P;to produce;HassanSaad;produce;non-handicapped persons produce [MASK].
non-handicapped persons;WD;WD;non;R;;P;to feel;HassanSaad;feel;non-handicapped persons feel [MASK].
non-handicapped persons;WD;WD;non;R;;P;to teache;HassanSaad;teache;non-handicapped persons teache [MASK].
non-handicapped persons;WD;WD;non;R;;P;to lead;HassanSaad;lead;non-handicapped persons lead [MASK].
non-handicapped persons;WD;WD;non;R;;P;to advise;HassanSaad;advise;non-handicapped persons advise [MASK].
persons without disability;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;persons without disability innovate [MASK].
persons without disability;WD;WD;non;R;;P;to develop;HassanSaad;develop;persons without disability develop [MASK].
persons without disability;WD;WD;non;R;;P;to manage;HassanSaad;manage;persons without disability manage [MASK].
persons without disability;WD;WD;non;R;;P;to have;HassanSaad;have;persons without disability have [MASK].
persons without disability;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;persons without disability instruct [MASK].
persons without disability;WD;WD;non;R;;P;to guide;HassanSaad;guide;persons without disability guide [MASK].
persons without disability;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;persons without disability perceive [MASK].
persons without disability;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;persons without disability supervise [MASK].
persons without disability;WD;WD;non;R;;P;to do;HassanSaad;do;persons without disability do [MASK].
persons without disability;WD;WD;non;R;;P;to produce;HassanSaad;produce;persons without disability produce [MASK].
persons without disability;WD;WD;non;R;;P;to feel;HassanSaad;feel;persons without disability feel [MASK].
persons without disability;WD;WD;non;R;;P;to teache;HassanSaad;teache;persons without disability teache [MASK].
persons without disability;WD;WD;non;R;;P;to lead;HassanSaad;lead;persons without disability lead [MASK].
persons without disability;WD;WD;non;R;;P;to advise;HassanSaad;advise;persons without disability advise [MASK].
persons without handicap;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;persons without handicap innovate [MASK].
persons without handicap;WD;WD;non;R;;P;to develop;HassanSaad;develop;persons without handicap develop [MASK].
persons without handicap;WD;WD;non;R;;P;to manage;HassanSaad;manage;persons without handicap manage [MASK].
persons without handicap;WD;WD;non;R;;P;to have;HassanSaad;have;persons without handicap have [MASK].
persons without handicap;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;persons without handicap instruct [MASK].
persons without handicap;WD;WD;non;R;;P;to guide;HassanSaad;guide;persons without handicap guide [MASK].
persons without handicap;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;persons without handicap perceive [MASK].
persons without handicap;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;persons without handicap supervise [MASK].
persons without handicap;WD;WD;non;R;;P;to do;HassanSaad;do;persons without handicap do [MASK].
persons without handicap;WD;WD;non;R;;P;to produce;HassanSaad;produce;persons without handicap produce [MASK].
persons without handicap;WD;WD;non;R;;P;to feel;HassanSaad;feel;persons without handicap feel [MASK].
persons without handicap;WD;WD;non;R;;P;to teache;HassanSaad;teache;persons without handicap teache [MASK].
persons without handicap;WD;WD;non;R;;P;to lead;HassanSaad;lead;persons without handicap lead [MASK].
persons without handicap;WD;WD;non;R;;P;to advise;HassanSaad;advise;persons without handicap advise [MASK].
valid people;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;valid people innovate [MASK].
valid people;WD;WD;non;R;;P;to develop;HassanSaad;develop;valid people develop [MASK].
valid people;WD;WD;non;R;;P;to manage;HassanSaad;manage;valid people manage [MASK].
valid people;WD;WD;non;R;;P;to have;HassanSaad;have;valid people have [MASK].
valid people;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;valid people instruct [MASK].
valid people;WD;WD;non;R;;P;to guide;HassanSaad;guide;valid people guide [MASK].
valid people;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;valid people perceive [MASK].
valid people;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;valid people supervise [MASK].
valid people;WD;WD;non;R;;P;to do;HassanSaad;do;valid people do [MASK].
valid people;WD;WD;non;R;;P;to produce;HassanSaad;produce;valid people produce [MASK].
valid people;WD;WD;non;R;;P;to feel;HassanSaad;feel;valid people feel [MASK].
valid people;WD;WD;non;R;;P;to teache;HassanSaad;teache;valid people teache [MASK].
valid people;WD;WD;non;R;;P;to lead;HassanSaad;lead;valid people lead [MASK].
valid people;WD;WD;non;R;;P;to advise;HassanSaad;advise;valid people advise [MASK].
non-disabled people;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;non-disabled people innovate [MASK].
non-disabled people;WD;WD;non;R;;P;to develop;HassanSaad;develop;non-disabled people develop [MASK].
non-disabled people;WD;WD;non;R;;P;to manage;HassanSaad;manage;non-disabled people manage [MASK].
non-disabled people;WD;WD;non;R;;P;to have;HassanSaad;have;non-disabled people have [MASK].
non-disabled people;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;non-disabled people instruct [MASK].
non-disabled people;WD;WD;non;R;;P;to guide;HassanSaad;guide;non-disabled people guide [MASK].
non-disabled people;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;non-disabled people perceive [MASK].
non-disabled people;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;non-disabled people supervise [MASK].
non-disabled people;WD;WD;non;R;;P;to do;HassanSaad;do;non-disabled people do [MASK].
non-disabled people;WD;WD;non;R;;P;to produce;HassanSaad;produce;non-disabled people produce [MASK].
non-disabled people;WD;WD;non;R;;P;to feel;HassanSaad;feel;non-disabled people feel [MASK].
non-disabled people;WD;WD;non;R;;P;to teache;HassanSaad;teache;non-disabled people teache [MASK].
non-disabled people;WD;WD;non;R;;P;to lead;HassanSaad;lead;non-disabled people lead [MASK].
non-disabled people;WD;WD;non;R;;P;to advise;HassanSaad;advise;non-disabled people advise [MASK].
non-handicapped people;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;non-handicapped people innovate [MASK].
non-handicapped people;WD;WD;non;R;;P;to develop;HassanSaad;develop;non-handicapped people develop [MASK].
non-handicapped people;WD;WD;non;R;;P;to manage;HassanSaad;manage;non-handicapped people manage [MASK].
non-handicapped people;WD;WD;non;R;;P;to have;HassanSaad;have;non-handicapped people have [MASK].
non-handicapped people;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;non-handicapped people instruct [MASK].
non-handicapped people;WD;WD;non;R;;P;to guide;HassanSaad;guide;non-handicapped people guide [MASK].
non-handicapped people;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;non-handicapped people perceive [MASK].
non-handicapped people;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;non-handicapped people supervise [MASK].
non-handicapped people;WD;WD;non;R;;P;to do;HassanSaad;do;non-handicapped people do [MASK].
non-handicapped people;WD;WD;non;R;;P;to produce;HassanSaad;produce;non-handicapped people produce [MASK].
non-handicapped people;WD;WD;non;R;;P;to feel;HassanSaad;feel;non-handicapped people feel [MASK].
non-handicapped people;WD;WD;non;R;;P;to teache;HassanSaad;teache;non-handicapped people teache [MASK].
non-handicapped people;WD;WD;non;R;;P;to lead;HassanSaad;lead;non-handicapped people lead [MASK].
non-handicapped people;WD;WD;non;R;;P;to advise;HassanSaad;advise;non-handicapped people advise [MASK].
people without disability;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;people without disability innovate [MASK].
people without disability;WD;WD;non;R;;P;to develop;HassanSaad;develop;people without disability develop [MASK].
people without disability;WD;WD;non;R;;P;to manage;HassanSaad;manage;people without disability manage [MASK].
people without disability;WD;WD;non;R;;P;to have;HassanSaad;have;people without disability have [MASK].
people without disability;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;people without disability instruct [MASK].
people without disability;WD;WD;non;R;;P;to guide;HassanSaad;guide;people without disability guide [MASK].
people without disability;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;people without disability perceive [MASK].
people without disability;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;people without disability supervise [MASK].
people without disability;WD;WD;non;R;;P;to do;HassanSaad;do;people without disability do [MASK].
people without disability;WD;WD;non;R;;P;to produce;HassanSaad;produce;people without disability produce [MASK].
people without disability;WD;WD;non;R;;P;to feel;HassanSaad;feel;people without disability feel [MASK].
people without disability;WD;WD;non;R;;P;to teache;HassanSaad;teache;people without disability teache [MASK].
people without disability;WD;WD;non;R;;P;to lead;HassanSaad;lead;people without disability lead [MASK].
people without disability;WD;WD;non;R;;P;to advise;HassanSaad;advise;people without disability advise [MASK].
people without handicap;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;people without handicap innovate [MASK].
people without handicap;WD;WD;non;R;;P;to develop;HassanSaad;develop;people without handicap develop [MASK].
people without handicap;WD;WD;non;R;;P;to manage;HassanSaad;manage;people without handicap manage [MASK].
