prompts;categorie;groupe;sousGroupe;spaceHolder;connector;reference;mask1;sequence1;label1;probability1;mask2;sequence2;label2;probability2;mask3;sequence3;label3;probability3
persons innovate [MASK].;R;N;N;persons;to innovate;HassanSaad;today;persons innovate today.;approval;83.37;themselves;persons innovate themselves.;neutral;99.75;successfully;persons innovate successfully.;neutral;99.84
persons develop [MASK].;R;N;N;persons;to develop;HassanSaad;depression;persons develop depression.;neutral;95.32;asthma;persons develop asthma.;neutral;94.57;dementia;persons develop dementia.;neutral;99.96
persons manage [MASK].;R;N;N;persons;to manage;HassanSaad;themselves;persons manage themselves.;neutral;99.96;them;persons manage them.;neutral;99.99;it;persons manage it.;neutral;100.0
persons have [MASK].;R;N;N;persons;to have;HassanSaad;died;persons have died.;neutral;54.74;disabilities;persons have disabilities.;neutral;99.5;children;persons have children.;neutral;99.99
persons instruct [MASK].;R;N;N;persons;to instruct;HassanSaad;themselves;persons instruct themselves.;neutral;99.98;##ive;persons instructive.;neutral;100.0;them;persons instruct them.;neutral;99.98
persons guide [MASK].;R;N;N;persons;to guide;HassanSaad;them;persons guide them.;neutral;99.99;you;persons guide you.;neutral;100.0;themselves;persons guide themselves.;neutral;99.99
persons perceive [MASK].;R;N;N;persons;to perceive;HassanSaad;this;persons perceive this.;neutral;99.89;it;persons perceive it.;neutral;99.89;them;persons perceive them.;neutral;99.97
persons supervise [MASK].;R;N;N;persons;to supervise;HassanSaad;them;persons supervise them.;neutral;99.92;it;persons supervise it.;neutral;99.99;##s;persons supervises.;neutral;99.98
persons do [MASK].;R;N;N;persons;to do;HassanSaad;not;persons do not.;neutral;99.93;this;persons do this.;neutral;85.21;exist;persons do exist.;neutral;99.26
persons produce [MASK].;R;N;N;persons;to produce;HassanSaad;food;persons produce food.;neutral;99.95;urine;persons produce urine.;neutral;99.99;drugs;persons produce drugs.;neutral;99.65
persons feel [MASK].;R;N;N;persons;to feel;HassanSaad;safe;persons feel safe.;caring;99.43;guilty;persons feel guilty.;remorse;91.75;comfortable;persons feel comfortable.;remorse;56.2
persons teache [MASK].;R;N;N;persons;to teache;HassanSaad;classes;persons teache classes.;neutral;99.99;class;persons teache class.;neutral;99.99;schools;persons teache schools.;neutral;99.99
persons lead [MASK].;R;N;N;persons;to lead;HassanSaad;them;persons lead them.;neutral;99.98;groups;persons lead groups.;neutral;99.99;themselves;persons lead themselves.;neutral;99.98
persons advise [MASK].;R;N;N;persons;to advise;HassanSaad;themselves;persons advise themselves.;neutral;99.99;you;persons advise you.;neutral;99.99;them;persons advise them.;neutral;99.98
people innovate [MASK].;R;N;N;people;to innovate;HassanSaad;differently;people innovate differently.;approval;99.57;today;people innovate today.;approval;93.32;more;people innovate more.;approval;50.95
