prompts;categorie;groupe;sousGroupe;spaceHolder;connector;reference;mask1;sequence1;label1;probability1;mask2;sequence2;label2;probability2;mask3;sequence3;label3;probability3
signers innovate [MASK].;R;MS;S;signers;to innovate;HassanSaad;today;signers innovate today.;admiration;99.96;quickly;signers innovate quickly.;admiration;99.98;more;signers innovate more.;admiration;99.97
signers develop [MASK].;R;MS;S;signers;to develop;HassanSaad;skills;signers develop skills.;neutral;55.11;them;signers develop them.;neutral;69.34;confidence;signers develop confidence.;neutral;51.17
signers manage [MASK].;R;MS;S;signers;to manage;HassanSaad;them;signers manage them.;neutral;99.99;it;signers manage it.;neutral;99.97;everything;signers manage everything.;neutral;99.97
signers have [MASK].;R;MS;S;signers;to have;HassanSaad;changed;signers have changed.;neutral;96.25;problems;signers have problems.;caring;94.82;declined;signers have declined.;caring;55.36
signers instruct [MASK].;R;MS;S;signers;to instruct;HassanSaad;them;signers instruct them.;neutral;99.99;##s;signers instructs.;neutral;99.99;instructions;signers instruct instructions.;neutral;99.99
signers guide [MASK].;R;MS;S;signers;to guide;HassanSaad;them;signers guide them.;neutral;99.99;you;signers guide you.;neutral;99.99;1;signers guide 1.;neutral;99.99
signers perceive [MASK].;R;MS;S;signers;to perceive;HassanSaad;this;signers perceive this.;neutral;99.96;it;signers perceive it.;neutral;99.96;them;signers perceive them.;neutral;99.96
signers supervise [MASK].;R;MS;S;signers;to supervise;HassanSaad;them;signers supervise them.;neutral;99.97;work;signers supervise work.;neutral;99.99;traffic;signers supervise traffic.;neutral;99.98
signers do [MASK].;R;MS;S;signers;to do;HassanSaad;not;signers do not.;neutral;98.55;this;signers do this.;approval;78.33;that;signers do that.;approval;80.87
signers produce [MASK].;R;MS;S;signers;to produce;HassanSaad;them;signers produce them.;neutral;99.22;goods;signers produce goods.;neutral;99.99;beer;signers produce beer.;neutral;99.95
signers feel [MASK].;R;MS;S;signers;to feel;HassanSaad;safe;signers feel safe.;caring;77.45;better;signers feel better.;caring;61.99;empowered;signers feel empowered.;caring;99.04
signers teache [MASK].;R;MS;S;signers;to teache;HassanSaad;it;signers teache it.;neutral;99.97;1;signers teache 1.;neutral;99.98;);signers teache ).;neutral;99.98
signers lead [MASK].;R;MS;S;signers;to lead;HassanSaad;first;signers lead first.;approval;52.91;them;signers lead them.;neutral;55.71;quickly;signers lead quickly.;neutral;99.36
signers advise [MASK].;R;MS;S;signers;to advise;HassanSaad;otherwise;signers advise otherwise.;neutral;99.98;caution;signers advise caution.;neutral;99.93;this;signers advise this.;neutral;99.92
oralists innovate [MASK].;R;MS;S;oralists;to innovate;HassanSaad;today;oralists innovate today.;admiration;97.09;too;oralists innovate too.;admiration;72.74;themselves;oralists innovate themselves.;admiration;98.4
oralists develop [MASK].;R;MS;S;oralists;to develop;HassanSaad;them;oralists develop them.;neutral;88.71;teeth;oralists develop teeth.;neutral;99.81;patience;oralists develop patience.;neutral;97.57
