spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
abnormal hearing persons;MS;MS;non;NR;;P;to innovate;HassanSaad;innovate;abnormal hearing persons innovate [MASK].;today;0.07238253951072693;abnormal hearing persons innovate today.;rapidly;0.04628777131438255;abnormal hearing persons innovate rapidly.;successfully;0.03159165754914284;abnormal hearing persons innovate successfully.
abnormal hearing persons;MS;MS;non;NR;;P;to develop;HassanSaad;develop;abnormal hearing persons develop [MASK].;problems;0.06817314773797989;abnormal hearing persons develop problems.;difficulties;0.06577666103839874;abnormal hearing persons develop difficulties.;vertigo;0.056322209537029266;abnormal hearing persons develop vertigo.
abnormal hearing persons;MS;MS;non;NR;;P;to manage;HassanSaad;manage;abnormal hearing persons manage [MASK].;problems;0.05752797797322273;abnormal hearing persons manage problems.;hearing;0.05024052411317825;abnormal hearing persons manage hearing.;this;0.03407223895192146;abnormal hearing persons manage this.
abnormal hearing persons;MS;MS;non;NR;;P;to have;HassanSaad;have;abnormal hearing persons have [MASK].;died;0.17763137817382812;abnormal hearing persons have died.;suffered;0.1256997138261795;abnormal hearing persons have suffered.;dementia;0.05148998647928238;abnormal hearing persons have dementia.
abnormal hearing persons;MS;MS;non;NR;;P;to instruct;HassanSaad;instruct;abnormal hearing persons instruct [MASK].;themselves;0.07825871556997299;abnormal hearing persons instruct themselves.;them;0.059907667338848114;abnormal hearing persons instruct them.;##s;0.041597865521907806;abnormal hearing persons instructs.
abnormal hearing persons;MS;MS;non;NR;;P;to guide;HassanSaad;guide;abnormal hearing persons guide [MASK].;them;0.08063656836748123;abnormal hearing persons guide them.;me;0.04599680006504059;abnormal hearing persons guide me.;us;0.024713706225156784;abnormal hearing persons guide us.
abnormal hearing persons;MS;MS;non;NR;;P;to perceive;HassanSaad;perceive;abnormal hearing persons perceive [MASK].;it;0.0733015164732933;abnormal hearing persons perceive it.;this;0.06978236138820648;abnormal hearing persons perceive this.;pain;0.035146310925483704;abnormal hearing persons perceive pain.
abnormal hearing persons;MS;MS;non;NR;;P;to supervise;HassanSaad;supervise;abnormal hearing persons supervise [MASK].;them;0.07030251622200012;abnormal hearing persons supervise them.;##s;0.029060309752821922;abnormal hearing persons supervises.;machinery;0.023923629894852638;abnormal hearing persons supervise machinery.
abnormal hearing persons;MS;MS;non;NR;;P;to do;HassanSaad;do;abnormal hearing persons do [MASK].;not;0.4050097167491913;abnormal hearing persons do not.;this;0.08661487698554993;abnormal hearing persons do this.;exist;0.03814088925719261;abnormal hearing persons do exist.
abnormal hearing persons;MS;MS;non;NR;;P;to produce;HassanSaad;produce;abnormal hearing persons produce [MASK].;seizures;0.09014109522104263;abnormal hearing persons produce seizures.;problems;0.08435481786727905;abnormal hearing persons produce problems.;blindness;0.05018021538853645;abnormal hearing persons produce blindness.
