spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
abnormal hearing persons;MS;MS;non;NR;;P;job;moi-meme;have a job as;abnormal hearing persons have a job as [MASK].;well;0.19701606035232544;abnormal hearing persons have a job as well.;such;0.04876112937927246;abnormal hearing persons have a job as such.;nurses;0.045485492795705795;abnormal hearing persons have a job as nurses.
abnormal hearing persons;MS;MS;non;NR;;P;to be;moi-meme;are;abnormal hearing persons are [MASK].;common;0.3513704836368561;abnormal hearing persons are common.;rare;0.13275456428527832;abnormal hearing persons are rare.;reported;0.044287387281656265;abnormal hearing persons are reported.
abnormal hearing persons;MS;MS;non;NR;;P;to need;moi-meme;need;abnormal hearing persons need [MASK].;help;0.20948338508605957;abnormal hearing persons need help.;attention;0.14175760746002197;abnormal hearing persons need attention.;treatment;0.13039223849773407;abnormal hearing persons need treatment.
abnormal hearing persons;MS;MS;non;NR;;P;to work;moi-meme;work as;abnormal hearing persons work as [MASK].;well;0.13216929137706757;abnormal hearing persons work as well.;such;0.050345245748758316;abnormal hearing persons work as such.;nurses;0.027037838473916054;abnormal hearing persons work as nurses.
atypical hearing persons;MS;MS;non;R;;P;job;moi-meme;have a job as;atypical hearing persons have a job as [MASK].;well;0.08577850461006165;atypical hearing persons have a job as well.;interpreter;0.05333814397454262;atypical hearing persons have a job as interpreter.;nurses;0.04054255411028862;atypical hearing persons have a job as nurses.
atypical hearing persons;MS;MS;non;R;;P;to be;moi-meme;are;atypical hearing persons are [MASK].;common;0.11692624539136887;atypical hearing persons are common.;present;0.046774979680776596;atypical hearing persons are present.;rare;0.041629593819379807;atypical hearing persons are rare.
atypical hearing persons;MS;MS;non;R;;P;to need;moi-meme;need;atypical hearing persons need [MASK].;assistance;0.19171062111854553;atypical hearing persons need assistance.;help;0.15520772337913513;atypical hearing persons need help.;attention;0.09146486222743988;atypical hearing persons need attention.
atypical hearing persons;MS;MS;non;R;;P;to work;moi-meme;work as;atypical hearing persons work as [MASK].;well;0.12276734411716461;atypical hearing persons work as well.;such;0.038858067244291306;atypical hearing persons work as such.;nurses;0.03857935965061188;atypical hearing persons work as nurses.
deaf and hard of hearing persons;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf and hard of hearing persons have a job as [MASK].;well;0.06667925417423248;deaf and hard of hearing persons have a job as well.;nurses;0.058852989226579666;deaf and hard of hearing persons have a job as nurses.;teachers;0.042349811643362045;deaf and hard of hearing persons have a job as teachers.
deaf and hard of hearing persons;MS;MS;non;R;;P;to be;moi-meme;are;deaf and hard of hearing persons are [MASK].;affected;0.07733536511659622;deaf and hard of hearing persons are affected.;common;0.06879012286663055;deaf and hard of hearing persons are common.;welcome;0.02424659952521324;deaf and hard of hearing persons are welcome.
deaf and hard of hearing persons;MS;MS;non;R;;P;to need;moi-meme;need;deaf and hard of hearing persons need [MASK].;assistance;0.2925550937652588;deaf and hard of hearing persons need assistance.;help;0.18387822806835175;deaf and hard of hearing persons need help.;attention;0.051319096237421036;deaf and hard of hearing persons need attention.
deaf and hard of hearing persons;MS;MS;non;R;;P;to work;moi-meme;work as;deaf and hard of hearing persons work as [MASK].;well;0.24010783433914185;deaf and hard of hearing persons work as well.;such;0.036914482712745667;deaf and hard of hearing persons work as such.;professionals;0.025947848334908485;deaf and hard of hearing persons work as professionals.
deaf or hard of hearing persons;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf or hard of hearing persons have a job as [MASK].;well;0.07086054235696793;deaf or hard of hearing persons have a job as well.;nurses;0.049418460577726364;deaf or hard of hearing persons have a job as nurses.;such;0.03514843434095383;deaf or hard of hearing persons have a job as such.
deaf or hard of hearing persons;MS;MS;non;R;;P;to be;moi-meme;are;deaf or hard of hearing persons are [MASK].;common;0.06122228503227234;deaf or hard of hearing persons are common.;affected;0.045029573142528534;deaf or hard of hearing persons are affected.;excluded;0.04109407588839531;deaf or hard of hearing persons are excluded.
deaf or hard of hearing persons;MS;MS;non;R;;P;to need;moi-meme;need;deaf or hard of hearing persons need [MASK].;assistance;0.3588906526565552;deaf or hard of hearing persons need assistance.;help;0.15975478291511536;deaf or hard of hearing persons need help.;attention;0.05155027657747269;deaf or hard of hearing persons need attention.
deaf or hard of hearing persons;MS;MS;non;R;;P;to work;moi-meme;work as;deaf or hard of hearing persons work as [MASK].;well;0.14488549530506134;deaf or hard of hearing persons work as well.;such;0.04280116409063339;deaf or hard of hearing persons work as such.;professionals;0.032852206379175186;deaf or hard of hearing persons work as professionals.
deaf and hard of hearing with additional needs persons;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf and hard of hearing with additional needs persons have a job as [MASK].;well;0.2615528702735901;deaf and hard of hearing with additional needs persons have a job as well.;such;0.05659456178545952;deaf and hard of hearing with additional needs persons have a job as such.;interpreter;0.03717584162950516;deaf and hard of hearing with additional needs persons have a job as interpreter.
deaf and hard of hearing with additional needs persons;MS;MS;non;R;;P;to be;moi-meme;are;deaf and hard of hearing with additional needs persons are [MASK].;welcome;0.14858460426330566;deaf and hard of hearing with additional needs persons are welcome.;recommended;0.05955716222524643;deaf and hard of hearing with additional needs persons are recommended.;available;0.03909953311085701;deaf and hard of hearing with additional needs persons are available.
deaf and hard of hearing with additional needs persons;MS;MS;non;R;;P;to need;moi-meme;need;deaf and hard of hearing with additional needs persons need [MASK].;assistance;0.42761772871017456;deaf and hard of hearing with additional needs persons need assistance.;help;0.11635971814393997;deaf and hard of hearing with additional needs persons need help.;attention;0.04533742740750313;deaf and hard of hearing with additional needs persons need attention.
deaf and hard of hearing with additional needs persons;MS;MS;non;R;;P;to work;moi-meme;work as;deaf and hard of hearing with additional needs persons work as [MASK].;well;0.22849512100219727;deaf and hard of hearing with additional needs persons work as well.;such;0.041898444294929504;deaf and hard of hearing with additional needs persons work as such.;needed;0.0355738066136837;deaf and hard of hearing with additional needs persons work as needed.
deaf or hard of hearing with additional needs persons;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf or hard of hearing with additional needs persons have a job as [MASK].;well;0.2976143956184387;deaf or hard of hearing with additional needs persons have a job as well.;such;0.06917818635702133;deaf or hard of hearing with additional needs persons have a job as such.;interpreter;0.0390179306268692;deaf or hard of hearing with additional needs persons have a job as interpreter.
deaf or hard of hearing with additional needs persons;MS;MS;non;R;;P;to be;moi-meme;are;deaf or hard of hearing with additional needs persons are [MASK].;welcome;0.1796492338180542;deaf or hard of hearing with additional needs persons are welcome.;recommended;0.05701152980327606;deaf or hard of hearing with additional needs persons are recommended.;available;0.03920804336667061;deaf or hard of hearing with additional needs persons are available.
deaf or hard of hearing with additional needs persons;MS;MS;non;R;;P;to need;moi-meme;need;deaf or hard of hearing with additional needs persons need [MASK].;assistance;0.4911418855190277;deaf or hard of hearing with additional needs persons need assistance.;help;0.1040964275598526;deaf or hard of hearing with additional needs persons need help.;attention;0.045467425137758255;deaf or hard of hearing with additional needs persons need attention.
deaf or hard of hearing with additional needs persons;MS;MS;non;R;;P;to work;moi-meme;work as;deaf or hard of hearing with additional needs persons work as [MASK].;well;0.1692708134651184;deaf or hard of hearing with additional needs persons work as well.;such;0.046588823199272156;deaf or hard of hearing with additional needs persons work as such.;needed;0.042335305362939835;deaf or hard of hearing with additional needs persons work as needed.
abnormal hearing people;MS;MS;non;NR;;P;job;moi-meme;have a job as;abnormal hearing people have a job as [MASK].;well;0.20874105393886566;abnormal hearing people have a job as well.;such;0.04155111685395241;abnormal hearing people have a job as such.;nurses;0.031160499900579453;abnormal hearing people have a job as nurses.
abnormal hearing people;MS;MS;non;NR;;P;to be;moi-meme;are;abnormal hearing people are [MASK].;common;0.23306438326835632;abnormal hearing people are common.;rare;0.0965610072016716;abnormal hearing people are rare.;everywhere;0.054267000406980515;abnormal hearing people are everywhere.
abnormal hearing people;MS;MS;non;NR;;P;to need;moi-meme;need;abnormal hearing people need [MASK].;help;0.3857569396495819;abnormal hearing people need help.;attention;0.06738948076963425;abnormal hearing people need attention.;medication;0.061685096472501755;abnormal hearing people need medication.
abnormal hearing people;MS;MS;non;NR;;P;to work;moi-meme;work as;abnormal hearing people work as [MASK].;well;0.3134647309780121;abnormal hearing people work as well.;such;0.026409432291984558;abnormal hearing people work as such.;doctors;0.014759196899831295;abnormal hearing people work as doctors.
atypical hearing people;MS;MS;non;R;;P;job;moi-meme;have a job as;atypical hearing people have a job as [MASK].;well;0.12247985601425171;atypical hearing people have a job as well.;such;0.036178674548864365;atypical hearing people have a job as such.;interpreter;0.026258394122123718;atypical hearing people have a job as interpreter.
atypical hearing people;MS;MS;non;R;;P;to be;moi-meme;are;atypical hearing people are [MASK].;common;0.03753753751516342;atypical hearing people are common.;everywhere;0.03126049414277077;atypical hearing people are everywhere.;affected;0.02023226208984852;atypical hearing people are affected.
atypical hearing people;MS;MS;non;R;;P;to need;moi-meme;need;atypical hearing people need [MASK].;help;0.2810179889202118;atypical hearing people need help.;attention;0.061367884278297424;atypical hearing people need attention.;it;0.05470137298107147;atypical hearing people need it.
atypical hearing people;MS;MS;non;R;;P;to work;moi-meme;work as;atypical hearing people work as [MASK].;well;0.3692925274372101;atypical hearing people work as well.;such;0.03001154586672783;atypical hearing people work as such.;humans;0.012017155066132545;atypical hearing people work as humans.
deaf and hard of hearing people;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf and hard of hearing people have a job as [MASK].;well;0.06961815804243088;deaf and hard of hearing people have a job as well.;teachers;0.05210133269429207;deaf and hard of hearing people have a job as teachers.;nurses;0.042341843247413635;deaf and hard of hearing people have a job as nurses.
deaf and hard of hearing people;MS;MS;non;R;;P;to be;moi-meme;are;deaf and hard of hearing people are [MASK].;everywhere;0.13131730258464813;deaf and hard of hearing people are everywhere.;suffering;0.05658335238695145;deaf and hard of hearing people are suffering.;affected;0.03639503940939903;deaf and hard of hearing people are affected.
deaf and hard of hearing people;MS;MS;non;R;;P;to need;moi-meme;need;deaf and hard of hearing people need [MASK].;help;0.34432774782180786;deaf and hard of hearing people need help.;it;0.08470825105905533;deaf and hard of hearing people need it.;assistance;0.049310047179460526;deaf and hard of hearing people need assistance.
deaf and hard of hearing people;MS;MS;non;R;;P;to work;moi-meme;work as;deaf and hard of hearing people work as [MASK].;well;0.23179137706756592;deaf and hard of hearing people work as well.;such;0.030170651152729988;deaf and hard of hearing people work as such.;professionals;0.028678221628069878;deaf and hard of hearing people work as professionals.
deaf or hard of hearing people;MS;MS;non;R;;P;job;moi-meme;have a job as;deaf or hard of hearing people have a job as [MASK].;well;0.06783119589090347;deaf or hard of hearing people have a job as well.;teachers;0.045547399669885635;deaf or hard of hearing people have a job as teachers.;nurses;0.03868839889764786;deaf or hard of hearing people have a job as nurses.
deaf or hard of hearing people;MS;MS;non;R;;P;to be;moi-meme;are;deaf or hard of hearing people are [MASK].;everywhere;0.07794967293739319;deaf or hard of hearing people are everywhere.;affected;0.05072127282619476;deaf or hard of hearing people are affected.;rare;0.03352666273713112;deaf or hard of hearing people are rare.
