spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
hard of hearing persons;MS;M;non;R;;P;to innovate;HassanSaad;innovate;hard of hearing persons innovate [MASK].;today;0.0605412349104881;hard of hearing persons innovate today.;themselves;0.0506550595164299;hard of hearing persons innovate themselves.;rapidly;0.0321283787488937;hard of hearing persons innovate rapidly.
hard of hearing persons;MS;M;non;R;;P;to develop;HassanSaad;develop;hard of hearing persons develop [MASK].;asthma;0.1435218006372451;hard of hearing persons develop asthma.;dementia;0.1070640906691551;hard of hearing persons develop dementia.;vertigo;0.0647844970226287;hard of hearing persons develop vertigo.
hard of hearing persons;MS;M;non;R;;P;to manage;HassanSaad;manage;hard of hearing persons manage [MASK].;asthma;0.0426299609243869;hard of hearing persons manage asthma.;this;0.0382631346583366;hard of hearing persons manage this.;it;0.0324881225824356;hard of hearing persons manage it.
hard of hearing persons;MS;M;non;R;;P;to have;HassanSaad;have;hard of hearing persons have [MASK].;died;0.2490595877170562;hard of hearing persons have died.;asthma;0.1482095718383789;hard of hearing persons have asthma.;dementia;0.1050296872854232;hard of hearing persons have dementia.
hard of hearing persons;MS;M;non;R;;P;to instruct;HassanSaad;instruct;hard of hearing persons instruct [MASK].;themselves;0.129418283700943;hard of hearing persons instruct themselves.;them;0.065794862806797;hard of hearing persons instruct them.;others;0.0321592278778553;hard of hearing persons instruct others.
hard of hearing persons;MS;M;non;R;;P;to guide;HassanSaad;guide;hard of hearing persons guide [MASK].;them;0.1167074665427208;hard of hearing persons guide them.;themselves;0.0385648496448993;hard of hearing persons guide themselves.;him;0.0280137434601783;hard of hearing persons guide him.
hard of hearing persons;MS;M;non;R;;P;to perceive;HassanSaad;perceive;hard of hearing persons perceive [MASK].;this;0.0750023797154426;hard of hearing persons perceive this.;it;0.0565714836120605;hard of hearing persons perceive it.;pain;0.0334949009120464;hard of hearing persons perceive pain.
hard of hearing persons;MS;M;non;R;;P;to supervise;HassanSaad;supervise;hard of hearing persons supervise [MASK].;them;0.1100975349545478;hard of hearing persons supervise them.;him;0.0309233367443084;hard of hearing persons supervise him.;it;0.0275678597390651;hard of hearing persons supervise it.
hard of hearing persons;MS;M;non;R;;P;to do;HassanSaad;do;hard of hearing persons do [MASK].;not;0.4177824258804321;hard of hearing persons do not.;this;0.0903804004192352;hard of hearing persons do this.;so;0.0540246777236461;hard of hearing persons do so.
hard of hearing persons;MS;M;non;R;;P;to produce;HassanSaad;produce;hard of hearing persons produce [MASK].;deaf;0.0789172127842903;hard of hearing persons produce deaf.;seizures;0.0676666647195816;hard of hearing persons produce seizures.;problems;0.0327283889055252;hard of hearing persons produce problems.
hard of hearing persons;MS;M;non;R;;P;to feel;HassanSaad;feel;hard of hearing persons feel [MASK].;uncomfortable;0.0442568622529506;hard of hearing persons feel uncomfortable.;better;0.0388411805033683;hard of hearing persons feel better.;helpless;0.0282443575561046;hard of hearing persons feel helpless.
hard of hearing persons;MS;M;non;R;;P;to teache;HassanSaad;teache;hard of hearing persons teache [MASK].;classes;0.0242004878818988;hard of hearing persons teache classes.;it;0.0165944714099168;hard of hearing persons teache it.;lessons;0.0162326637655496;hard of hearing persons teache lessons.
hard of hearing persons;MS;M;non;R;;P;to lead;HassanSaad;lead;hard of hearing persons lead [MASK].;them;0.0263824164867401;hard of hearing persons lead them.;suicide;0.0233470816165208;hard of hearing persons lead suicide.;children;0.0206673517823219;hard of hearing persons lead children.
hard of hearing persons;MS;M;non;R;;P;to advise;HassanSaad;advise;hard of hearing persons advise [MASK].;caution;0.2022136151790619;hard of hearing persons advise caution.;this;0.0280734132975339;hard of hearing persons advise this.;counsel;0.0252523310482502;hard of hearing persons advise counsel.
hearing impaired persons;MS;M;non;NR;;P;to innovate;HassanSaad;innovate;hearing impaired persons innovate [MASK].;today;0.1717572957277298;hearing impaired persons innovate today.;successfully;0.0430515930056571;hearing impaired persons innovate successfully.;more;0.0335592590272426;hearing impaired persons innovate more.
hearing impaired persons;MS;M;non;NR;;P;to develop;HassanSaad;develop;hearing impaired persons develop [MASK].;dementia;0.2272444814443588;hearing impaired persons develop dementia.;asthma;0.116015650331974;hearing impaired persons develop asthma.;autism;0.0821010246872901;hearing impaired persons develop autism.
hearing impaired persons;MS;M;non;NR;;P;to manage;HassanSaad;manage;hearing impaired persons manage [MASK].;asthma;0.0670433789491653;hearing impaired persons manage asthma.;dementia;0.0646650791168212;hearing impaired persons manage dementia.;better;0.0382702127099037;hearing impaired persons manage better.
hearing impaired persons;MS;M;non;NR;;P;to have;HassanSaad;have;hearing impaired persons have [MASK].;dementia;0.1877649575471878;hearing impaired persons have dementia.;died;0.1558676213026046;hearing impaired persons have died.;disabilities;0.1349113434553146;hearing impaired persons have disabilities.
hearing impaired persons;MS;M;non;NR;;P;to instruct;HassanSaad;instruct;hearing impaired persons instruct [MASK].;themselves;0.1343180835247039;hearing impaired persons instruct themselves.;them;0.0542465932667255;hearing impaired persons instruct them.;##s;0.0380679666996002;hearing impaired persons instructs.
hearing impaired persons;MS;M;non;NR;;P;to guide;HassanSaad;guide;hearing impaired persons guide [MASK].;them;0.0937549993395805;hearing impaired persons guide them.;me;0.0388514921069145;hearing impaired persons guide me.;you;0.0338970571756362;hearing impaired persons guide you.
hearing impaired persons;MS;M;non;NR;;P;to perceive;HassanSaad;perceive;hearing impaired persons perceive [MASK].;it;0.0619328841567039;hearing impaired persons perceive it.;this;0.0603369958698749;hearing impaired persons perceive this.;impairment;0.0532695576548576;hearing impaired persons perceive impairment.
hearing impaired persons;MS;M;non;NR;;P;to supervise;HassanSaad;supervise;hearing impaired persons supervise [MASK].;them;0.0439189001917839;hearing impaired persons supervise them.;work;0.0356864109635353;hearing impaired persons supervise work.;##s;0.0325762778520584;hearing impaired persons supervises.
hearing impaired persons;MS;M;non;NR;;P;to do;HassanSaad;do;hearing impaired persons do [MASK].;not;0.6559286117553711;hearing impaired persons do not.;so;0.0365749560296535;hearing impaired persons do so.;this;0.0320780016481876;hearing impaired persons do this.
hearing impaired persons;MS;M;non;NR;;P;to produce;HassanSaad;produce;hearing impaired persons produce [MASK].;seizures;0.0908809453248977;hearing impaired persons produce seizures.;aids;0.0414798445999622;hearing impaired persons produce aids.;autism;0.0403221771121025;hearing impaired persons produce autism.
hearing impaired persons;MS;M;non;NR;;P;to feel;HassanSaad;feel;hearing impaired persons feel [MASK].;better;0.1534911096096038;hearing impaired persons feel better.;safe;0.0700224190950393;hearing impaired persons feel safe.;differently;0.048066210001707;hearing impaired persons feel differently.
hearing impaired persons;MS;M;non;NR;;P;to teache;HassanSaad;teache;hearing impaired persons teache [MASK].;classes;0.0429229959845542;hearing impaired persons teache classes.;it;0.0195752643048763;hearing impaired persons teache it.;lessons;0.0173501186072826;hearing impaired persons teache lessons.
hearing impaired persons;MS;M;non;NR;;P;to lead;HassanSaad;lead;hearing impaired persons lead [MASK].;suicide;0.0445138402283191;hearing impaired persons lead suicide.;children;0.0373823456466198;hearing impaired persons lead children.;them;0.0354930162429809;hearing impaired persons lead them.
hearing impaired persons;MS;M;non;NR;;P;to advise;HassanSaad;advise;hearing impaired persons advise [MASK].;caution;0.1044370755553245;hearing impaired persons advise caution.;you;0.0454223453998565;hearing impaired persons advise you.;them;0.0273469667881727;hearing impaired persons advise them.
persons having hearing loss;MS;M;non;R;;P;to innovate;HassanSaad;innovate;persons having hearing loss innovate [MASK].;accordingly;0.0737042278051376;persons having hearing loss innovate accordingly.;today;0.0711944624781608;persons having hearing loss innovate today.;rapidly;0.0588350854814052;persons having hearing loss innovate rapidly.
persons having hearing loss;MS;M;non;R;;P;to develop;HassanSaad;develop;persons having hearing loss develop [MASK].;dementia;0.182099312543869;persons having hearing loss develop dementia.;asthma;0.0830832570791244;persons having hearing loss develop asthma.;vertigo;0.0673749521374702;persons having hearing loss develop vertigo.
persons having hearing loss;MS;M;non;R;;P;to manage;HassanSaad;manage;persons having hearing loss manage [MASK].;well;0.1387241929769516;persons having hearing loss manage well.;better;0.0819563195109367;persons having hearing loss manage better.;it;0.0547043308615684;persons having hearing loss manage it.
persons having hearing loss;MS;M;non;R;;P;to have;HassanSaad;have;persons having hearing loss have [MASK].;dementia;0.1583749055862426;persons having hearing loss have dementia.;died;0.137722298502922;persons having hearing loss have died.;asthma;0.0771118998527526;persons having hearing loss have asthma.
persons having hearing loss;MS;M;non;R;;P;to instruct;HassanSaad;instruct;persons having hearing loss instruct [MASK].;themselves;0.1167312711477279;persons having hearing loss instruct themselves.;##ive;0.0773021802306175;persons having hearing loss instructive.;them;0.0617920458316803;persons having hearing loss instruct them.
persons having hearing loss;MS;M;non;R;;P;to guide;HassanSaad;guide;persons having hearing loss guide [MASK].;problems;0.0327081568539142;persons having hearing loss guide problems.;conditions;0.02707508392632;persons having hearing loss guide conditions.;children;0.0237186811864376;persons having hearing loss guide children.
persons having hearing loss;MS;M;non;R;;P;to perceive;HassanSaad;perceive;persons having hearing loss perceive [MASK].;it;0.2210608571767807;persons having hearing loss perceive it.;this;0.1187381818890571;persons having hearing loss perceive this.;them;0.0491155683994293;persons having hearing loss perceive them.
persons having hearing loss;MS;M;non;R;;P;to supervise;HassanSaad;supervise;persons having hearing loss supervise [MASK].;them;0.1591570526361465;persons having hearing loss supervise them.;##s;0.0945632755756378;persons having hearing loss supervises.;him;0.036150399595499;persons having hearing loss supervise him.
persons having hearing loss;MS;M;non;R;;P;to do;HassanSaad;do;persons having hearing loss do [MASK].;not;0.7650007605552673;persons having hearing loss do not.;so;0.0568672940135002;persons having hearing loss do so.;this;0.0165536049753427;persons having hearing loss do this.
persons having hearing loss;MS;M;non;R;;P;to produce;HassanSaad;produce;persons having hearing loss produce [MASK].;blindness;0.06849055737257;persons having hearing loss produce blindness.;aids;0.0635990276932716;persons having hearing loss produce aids.;problems;0.058115430176258;persons having hearing loss produce problems.
persons having hearing loss;MS;M;non;R;;P;to feel;HassanSaad;feel;persons having hearing loss feel [MASK].;better;0.3285776972770691;persons having hearing loss feel better.;worse;0.0398626700043678;persons having hearing loss feel worse.;differently;0.0350768417119979;persons having hearing loss feel differently.
persons having hearing loss;MS;M;non;R;;P;to teache;HassanSaad;teache;persons having hearing loss teache [MASK].;t;0.0293070040643215;persons having hearing loss teache t.;more;0.0190537609159946;persons having hearing loss teache more.;.;0.016181144863367;persons having hearing loss teache..
persons having hearing loss;MS;M;non;R;;P;to lead;HassanSaad;lead;persons having hearing loss lead [MASK].;suicide;0.1308681219816208;persons having hearing loss lead suicide.;problems;0.0241436120122671;persons having hearing loss lead problems.;surgery;0.0226986985653638;persons having hearing loss lead surgery.
persons having hearing loss;MS;M;non;R;;P;to advise;HassanSaad;advise;persons having hearing loss advise [MASK].;caution;0.2927061319351196;persons having hearing loss advise caution.;this;0.060388408601284;persons having hearing loss advise this.;otherwise;0.0387655943632125;persons having hearing loss advise otherwise.
persons with hearing loss;MS;M;non;R;;P;to innovate;HassanSaad;innovate;persons with hearing loss innovate [MASK].;today;0.1060286089777946;persons with hearing loss innovate today.;successfully;0.0636248365044593;persons with hearing loss innovate successfully.;quickly;0.0472548753023147;persons with hearing loss innovate quickly.
persons with hearing loss;MS;M;non;R;;P;to develop;HassanSaad;develop;persons with hearing loss develop [MASK].;dementia;0.1888921409845352;persons with hearing loss develop dementia.;asthma;0.1097457632422447;persons with hearing loss develop asthma.;vertigo;0.0724255368113517;persons with hearing loss develop vertigo.
persons with hearing loss;MS;M;non;R;;P;to manage;HassanSaad;manage;persons with hearing loss manage [MASK].;it;0.0828370675444603;persons with hearing loss manage it.;well;0.0790581554174423;persons with hearing loss manage well.;better;0.075335294008255;persons with hearing loss manage better.
persons with hearing loss;MS;M;non;R;;P;to have;HassanSaad;have;persons with hearing loss have [MASK].;dementia;0.1770414859056472;persons with hearing loss have dementia.;died;0.1366108506917953;persons with hearing loss have died.;asthma;0.092605635523796;persons with hearing loss have asthma.
persons with hearing loss;MS;M;non;R;;P;to instruct;HassanSaad;instruct;persons with hearing loss instruct [MASK].;themselves;0.0744200721383094;persons with hearing loss instruct themselves.;##ive;0.0697614699602127;persons with hearing loss instructive.;them;0.0616935826838016;persons with hearing loss instruct them.
persons with hearing loss;MS;M;non;R;;P;to guide;HassanSaad;guide;persons with hearing loss guide [MASK].;them;0.0621040686964988;persons with hearing loss guide them.;caution;0.0403293818235397;persons with hearing loss guide caution.;me;0.0362494140863418;persons with hearing loss guide me.
persons with hearing loss;MS;M;non;R;;P;to perceive;HassanSaad;perceive;persons with hearing loss perceive [MASK].;it;0.201922059059143;persons with hearing loss perceive it.;this;0.1133588850498199;persons with hearing loss perceive this.;them;0.0420620813965797;persons with hearing loss perceive them.
persons with hearing loss;MS;M;non;R;;P;to supervise;HassanSaad;supervise;persons with hearing loss supervise [MASK].;them;0.0965897142887115;persons with hearing loss supervise them.;##s;0.0440397150814533;persons with hearing loss supervises.;it;0.0247820299118757;persons with hearing loss supervise it.
persons with hearing loss;MS;M;non;R;;P;to do;HassanSaad;do;persons with hearing loss do [MASK].;not;0.7440772652626038;persons with hearing loss do not.;so;0.0459302999079227;persons with hearing loss do so.;this;0.0208949465304613;persons with hearing loss do this.
persons with hearing loss;MS;M;non;R;;P;to produce;HassanSaad;produce;persons with hearing loss produce [MASK].;problems;0.0656818896532058;persons with hearing loss produce problems.;seizures;0.0594076104462146;persons with hearing loss produce seizures.;blindness;0.0561174042522907;persons with hearing loss produce blindness.
persons with hearing loss;MS;M;non;R;;P;to feel;HassanSaad;feel;persons with hearing loss feel [MASK].;better;0.3716369867324829;persons with hearing loss feel better.;worse;0.0340906269848346;persons with hearing loss feel worse.;safe;0.0331183075904846;persons with hearing loss feel safe.
persons with hearing loss;MS;M;non;R;;P;to teache;HassanSaad;teache;persons with hearing loss teache [MASK].;t;0.02485235594213;persons with hearing loss teache t.;more;0.0206195246428251;persons with hearing loss teache more.;1;0.0182798411697149;persons with hearing loss teache 1.
persons with hearing loss;MS;M;non;R;;P;to lead;HassanSaad;lead;persons with hearing loss lead [MASK].;suicide;0.087773896753788;persons with hearing loss lead suicide.;problems;0.0258091688156127;persons with hearing loss lead problems.;surgery;0.0228531211614608;persons with hearing loss lead surgery.
persons with hearing loss;MS;M;non;R;;P;to advise;HassanSaad;advise;persons with hearing loss advise [MASK].;caution;0.2610862851142883;persons with hearing loss advise caution.;this;0.0723107308149337;persons with hearing loss advise this.;it;0.0477023087441921;persons with hearing loss advise it.
persons suffer from hearing problems;MS;M;non;NR;;P;to innovate;HassanSaad;innovate;persons suffer from hearing problems innovate [MASK].;rapidly;0.0477447882294654;persons suffer from hearing problems innovate rapidly.;accordingly;0.0456761606037616;persons suffer from hearing problems innovate accordingly.;more;0.035768162459135;persons suffer from hearing problems innovate more.
persons suffer from hearing problems;MS;M;non;NR;;P;to develop;HassanSaad;develop;persons suffer from hearing problems develop [MASK].;asthma;0.1239497661590576;persons suffer from hearing problems develop asthma.;dementia;0.0920653641223907;persons suffer from hearing problems develop dementia.;aids;0.06909641623497;persons suffer from hearing problems develop aids.
persons suffer from hearing problems;MS;M;non;NR;;P;to manage;HassanSaad;manage;persons suffer from hearing problems manage [MASK].;well;0.200947031378746;persons suffer from hearing problems manage well.;##ably;0.0642575919628143;persons suffer from hearing problems manageably.;better;0.0603967830538749;persons suffer from hearing problems manage better.
persons suffer from hearing problems;MS;M;non;NR;;P;to have;HassanSaad;have;persons suffer from hearing problems have [MASK].;asthma;0.1219973787665367;persons suffer from hearing problems have asthma.;dementia;0.1121923178434372;persons suffer from hearing problems have dementia.;died;0.0673768222332;persons suffer from hearing problems have died.
persons suffer from hearing problems;MS;M;non;NR;;P;to instruct;HassanSaad;instruct;persons suffer from hearing problems instruct [MASK].;##ive;0.1407595425844192;persons suffer from hearing problems instructive.;##ively;0.0916012302041053;persons suffer from hearing problems instructively.;##ibly;0.082496277987957;persons suffer from hearing problems instructibly.
