spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
normal hearing persons;NMS;NMS;non;NR;;P;to innovate;HassanSaad;innovate;normal hearing persons innovate [MASK].;today;0.05530313029885292;normal hearing persons innovate today.;rapidly;0.03960913419723511;normal hearing persons innovate rapidly.;differently;0.03551379591226578;normal hearing persons innovate differently.
normal hearing persons;NMS;NMS;non;NR;;P;to develop;HassanSaad;develop;normal hearing persons develop [MASK].;asthma;0.06395884603261948;normal hearing persons develop asthma.;vertigo;0.053906895220279694;normal hearing persons develop vertigo.;problems;0.05210857465863228;normal hearing persons develop problems.
normal hearing persons;NMS;NMS;non;NR;;P;to manage;HassanSaad;manage;normal hearing persons manage [MASK].;this;0.1142326146364212;normal hearing persons manage this.;it;0.05564981326460838;normal hearing persons manage it.;hearing;0.049653828144073486;normal hearing persons manage hearing.
normal hearing persons;NMS;NMS;non;NR;;P;to have;HassanSaad;have;normal hearing persons have [MASK].;problems;0.10747376084327698;normal hearing persons have problems.;asthma;0.08958307653665543;normal hearing persons have asthma.;dementia;0.06131963059306145;normal hearing persons have dementia.
normal hearing persons;NMS;NMS;non;NR;;P;to instruct;HassanSaad;instruct;normal hearing persons instruct [MASK].;them;0.04023772478103638;normal hearing persons instruct them.;##s;0.03657514229416847;normal hearing persons instructs.;themselves;0.030302518978714943;normal hearing persons instruct themselves.
normal hearing persons;NMS;NMS;non;NR;;P;to guide;HassanSaad;guide;normal hearing persons guide [MASK].;them;0.08568714559078217;normal hearing persons guide them.;me;0.0570661723613739;normal hearing persons guide me.;you;0.03554338961839676;normal hearing persons guide you.
normal hearing persons;NMS;NMS;non;NR;;P;to perceive;HassanSaad;perceive;normal hearing persons perceive [MASK].;this;0.17156018316745758;normal hearing persons perceive this.;it;0.11870838701725006;normal hearing persons perceive it.;them;0.02834196574985981;normal hearing persons perceive them.
normal hearing persons;NMS;NMS;non;NR;;P;to supervise;HassanSaad;supervise;normal hearing persons supervise [MASK].;them;0.07793021947145462;normal hearing persons supervise them.;##s;0.04140564054250717;normal hearing persons supervises.;hearing;0.04132334887981415;normal hearing persons supervise hearing.
normal hearing persons;NMS;NMS;non;NR;;P;to do;HassanSaad;do;normal hearing persons do [MASK].;not;0.7149800062179565;normal hearing persons do not.;this;0.0645626038312912;normal hearing persons do this.;so;0.04319870099425316;normal hearing persons do so.
normal hearing persons;NMS;NMS;non;NR;;P;to produce;HassanSaad;produce;normal hearing persons produce [MASK].;deaf;0.14612233638763428;normal hearing persons produce deaf.;problems;0.05792098492383957;normal hearing persons produce problems.;speech;0.037278056144714355;normal hearing persons produce speech.
normal hearing persons;NMS;NMS;non;NR;;P;to feel;HassanSaad;feel;normal hearing persons feel [MASK].;better;0.07137279957532883;normal hearing persons feel better.;differently;0.048138294368982315;normal hearing persons feel differently.;fine;0.046281471848487854;normal hearing persons feel fine.
normal hearing persons;NMS;NMS;non;NR;;P;to teache;HassanSaad;teache;normal hearing persons teache [MASK].;it;0.028254175558686256;normal hearing persons teache it.;classes;0.014886434189975262;normal hearing persons teache classes.;this;0.013176631182432175;normal hearing persons teache this.
normal hearing persons;NMS;NMS;non;NR;;P;to lead;HassanSaad;lead;normal hearing persons lead [MASK].;well;0.021927835419774055;normal hearing persons lead well.;them;0.020375661551952362;normal hearing persons lead them.;me;0.018206505104899406;normal hearing persons lead me.
normal hearing persons;NMS;NMS;non;NR;;P;to advise;HassanSaad;advise;normal hearing persons advise [MASK].;caution;0.3371472954750061;normal hearing persons advise caution.;this;0.057192809879779816;normal hearing persons advise this.;otherwise;0.057061079889535904;normal hearing persons advise otherwise.
