spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
persons;N;N;non;R;;P;to innovate;HassanSaad;innovate;persons innovate [MASK].;today;0.061155080795288;persons innovate today.;themselves;0.0587126277387142;persons innovate themselves.;successfully;0.0390151888132095;persons innovate successfully.
persons;N;N;non;R;;P;to develop;HassanSaad;develop;persons develop [MASK].;depression;0.1101507395505905;persons develop depression.;asthma;0.09625805914402;persons develop asthma.;dementia;0.073053278028965;persons develop dementia.
persons;N;N;non;R;;P;to manage;HassanSaad;manage;persons manage [MASK].;themselves;0.0793408155441284;persons manage themselves.;them;0.0403993800282478;persons manage them.;it;0.0264055430889129;persons manage it.
persons;N;N;non;R;;P;to have;HassanSaad;have;persons have [MASK].;died;0.3696084916591644;persons have died.;disabilities;0.0726069062948226;persons have disabilities.;children;0.0522834286093711;persons have children.
persons;N;N;non;R;;P;to instruct;HassanSaad;instruct;persons instruct [MASK].;themselves;0.2432166337966919;persons instruct themselves.;##ive;0.0699683353304863;persons instructive.;them;0.0524843893945217;persons instruct them.
persons;N;N;non;R;;P;to guide;HassanSaad;guide;persons guide [MASK].;them;0.1083980426192283;persons guide them.;you;0.0413464158773422;persons guide you.;themselves;0.0388903990387916;persons guide themselves.
persons;N;N;non;R;;P;to perceive;HassanSaad;perceive;persons perceive [MASK].;this;0.132947951555252;persons perceive this.;it;0.1076873242855072;persons perceive it.;them;0.0463946089148521;persons perceive them.
persons;N;N;non;R;;P;to supervise;HassanSaad;supervise;persons supervise [MASK].;them;0.1201745420694351;persons supervise them.;it;0.0406235381960868;persons supervise it.;##s;0.0358478538691997;persons supervises.
persons;N;N;non;R;;P;to do;HassanSaad;do;persons do [MASK].;not;0.5115034580230713;persons do not.;this;0.0357123911380767;persons do this.;exist;0.03503043577075;persons do exist.
persons;N;N;non;R;;P;to produce;HassanSaad;produce;persons produce [MASK].;food;0.0631448701024055;persons produce food.;urine;0.0250869859009981;persons produce urine.;drugs;0.0196625906974077;persons produce drugs.
persons;N;N;non;R;;P;to feel;HassanSaad;feel;persons feel [MASK].;safe;0.0780182778835296;persons feel safe.;guilty;0.0297010373324155;persons feel guilty.;comfortable;0.0273180231451988;persons feel comfortable.
persons;N;N;non;R;;P;to teache;HassanSaad;teache;persons teache [MASK].;classes;0.0574239864945411;persons teache classes.;class;0.0169502981007099;persons teache class.;schools;0.0138009591028094;persons teache schools.
persons;N;N;non;R;;P;to lead;HassanSaad;lead;persons lead [MASK].;them;0.0385348312556743;persons lead them.;groups;0.0237170420587062;persons lead groups.;themselves;0.0226021856069564;persons lead themselves.
persons;N;N;non;R;;P;to advise;HassanSaad;advise;persons advise [MASK].;themselves;0.0774984508752822;persons advise themselves.;you;0.0440258421003818;persons advise you.;them;0.0428843460977077;persons advise them.
people;N;N;non;R;;P;to innovate;HassanSaad;innovate;people innovate [MASK].;differently;0.1125838458538055;people innovate differently.;today;0.049939963966608;people innovate today.;more;0.0480480007827281;people innovate more.
