spaceHolder;groupe;sousGroupe;ignore;categorie;context;cat_gr;connector;reference;connectorVerb;prompts;mask1;score1;sequence1;mask2;score2;sequence2;mask3;score3;sequence3
valid persons;WD;WD;non;R;;P;to innovate;HassanSaad;innovate;valid persons innovate [MASK].;today;0.0688039138913154;valid persons innovate today.;themselves;0.0575076714158058;valid persons innovate themselves.;successfully;0.0571903474628925;valid persons innovate successfully.
valid persons;WD;WD;non;R;;P;to develop;HassanSaad;develop;valid persons develop [MASK].;confidence;0.0365017168223857;valid persons develop confidence.;themselves;0.032149001955986;valid persons develop themselves.;rights;0.0267306044697761;valid persons develop rights.
valid persons;WD;WD;non;R;;P;to manage;HassanSaad;manage;valid persons manage [MASK].;it;0.0439827032387256;valid persons manage it.;them;0.033244177699089;valid persons manage them.;themselves;0.0207337588071823;valid persons manage themselves.
valid persons;WD;WD;non;R;;P;to have;HassanSaad;have;valid persons have [MASK].;rights;0.0975648909807205;valid persons have rights.;died;0.0477638952434062;valid persons have died.;been;0.0254852529615163;valid persons have been.
valid persons;WD;WD;non;R;;P;to instruct;HassanSaad;instruct;valid persons instruct [MASK].;themselves;0.0914800316095352;valid persons instruct themselves.;them;0.0736475884914398;valid persons instruct them.;##s;0.0462188646197319;valid persons instructs.
valid persons;WD;WD;non;R;;P;to guide;HassanSaad;guide;valid persons guide [MASK].;##book;0.0678784847259521;valid persons guidebook.;me;0.0342654883861541;valid persons guide me.;##line;0.0307715032249689;valid persons guideline.
valid persons;WD;WD;non;R;;P;to perceive;HassanSaad;perceive;valid persons perceive [MASK].;this;0.1879806518554687;valid persons perceive this.;it;0.109538085758686;valid persons perceive it.;them;0.0545044280588626;valid persons perceive them.
valid persons;WD;WD;non;R;;P;to supervise;HassanSaad;supervise;valid persons supervise [MASK].;them;0.0948271304368972;valid persons supervise them.;##s;0.0818636640906333;valid persons supervises.;it;0.0393172167241573;valid persons supervise it.
valid persons;WD;WD;non;R;;P;to do;HassanSaad;do;valid persons do [MASK].;not;0.5049018859863281;valid persons do not.;exist;0.1310437172651291;valid persons do exist.;so;0.0403153151273727;valid persons do so.
valid persons;WD;WD;non;R;;P;to produce;HassanSaad;produce;valid persons produce [MASK].;evidence;0.0230772346258163;valid persons produce evidence.;them;0.0218190401792526;valid persons produce them.;documents;0.019674090668559;valid persons produce documents.
valid persons;WD;WD;non;R;;P;to feel;HassanSaad;feel;valid persons feel [MASK].;safe;0.0631156489253044;valid persons feel safe.;it;0.0326191410422325;valid persons feel it.;entitled;0.0285722464323043;valid persons feel entitled.
valid persons;WD;WD;non;R;;P;to teache;HassanSaad;teache;valid persons teache [MASK].;classes;0.0259668864309787;valid persons teache classes.;schools;0.0139294201508164;valid persons teache schools.;class;0.0132365319877862;valid persons teache class.
valid persons;WD;WD;non;R;;P;to lead;HassanSaad;lead;valid persons lead [MASK].;them;0.0371600948274135;valid persons lead them.;us;0.0237627122551202;valid persons lead us.;me;0.0208451822400093;valid persons lead me.
valid persons;WD;WD;non;R;;P;to advise;HassanSaad;advise;valid persons advise [MASK].;you;0.1238085404038429;valid persons advise you.;themselves;0.0541504994034767;valid persons advise themselves.;them;0.0455399267375469;valid persons advise them.
